,name,혼자,액티비티,자연,힐링
0,24시 마린낚시(전곡항 24 마린낚시),0.5193687707185746,0.6018974512815476,0.6298009037971497,0.6551029503345489
1,EVO수영장,0.42025232315063477,0.47926214933395384,0.48009926080703735,0.4792444407939911
2,K-26,0.5210290074348449,0.6231704354286194,0.6357691258192062,0.6517827272415161
3,K3바다낚시터,0.4323989063501358,0.5529854834079743,0.5417237997055053,0.5230419725179672
4,M1971요트투어,0.5658293336629867,0.7227412760257721,0.6855862319469452,0.6158756136894226
5,가평빠지 클럽비발디 수상레저,0.5468679279088974,0.7129718422889709,0.686603182554245,0.6489818215370178
6,강화도 황청낚시터,0.48614229559898375,0.5786508560180664,0.5859812557697296,0.6054955363273621
7,거청낚시터,0.48207612548555645,0.5575539129120963,0.584902788911547,0.6678867893559592
8,고덕사회체육센터(실내수영장),0.606103777885437,0.682678759098053,0.7227784991264343,0.651722232500712
9,골든블루마리나,0.5684111833572387,0.712893295288086,0.6817594945430756,0.6319564700126648
10,과림낚시터,0.35117521584033967,0.43412488996982573,0.43536643385887147,0.5287389665842056
11,광탄낚시레저타운,0.27828994393348694,0.41312408447265625,0.3921247720718384,0.48758891224861145
12,귀덕바다투명카약,0.5963556051254273,0.6982508957386017,0.6926464736461639,0.6583604454994202
13,그랜드 워커힐 리버파크(야외수영장),0.5708470553159714,0.6281513392925262,0.6664072453975678,0.7314463198184967
14,금원수목원수영장,0.5934991061687469,0.7081815123558044,0.7011316478252411,0.6852879703044892
15,길명낚시공원,0.5297196567058563,0.5843274414539337,0.6327946782112122,0.7171175986528396
16,길정 낚시터,0.5861838221549988,0.6873477339744568,0.7105170965194703,0.7082839727401733
17,김녕요트투어,0.5758652031421662,0.7204540312290192,0.6872945368289948,0.6284545123577118
18,김포스포츠센터(실내수영장),0.5413117825984954,0.6706295073032379,0.6692616105079651,0.616767480969429
19,난지한강공원물놀이장,0.517254963517189,0.6859431445598603,0.6709758460521698,0.6449959695339202
20,남창낚시터(남창지),0.18987446278333664,0.2649867832660675,0.24256332218647003,0.2600579932332039
21,남한강수상스키장,0.6062797904014587,0.7465407848358154,0.7150731086730957,0.66788649559021
22,노진낚시터,0.27828994393348694,0.41312408447265625,0.3921247720718384,0.48758891224861145
23,다이브라이프,0.5590848177671432,0.6971830248832702,0.6584883749485015,0.6331850409507751
24,대동 낚시터,0.4782504469156265,0.5852924168109894,0.6105790317058564,0.6516429513692856
25,대석낚시터,0.4230461631502424,0.5108644706862313,0.5212669244834355,0.551218718290329
26,더 초리골,0.5512044817209244,0.6978883981704712,0.668530398607254,0.6232669532299042
27,더시크릿수상레저,0.37593068927526474,0.47821104526519775,0.4614982008934021,0.5129190236330032
28,덕봉낚시터,0.5733800679445267,0.6042201280593872,0.626981109380722,0.6782291889190674
29,덕송지 수상 풍차 낚시터,0.5891500115394592,0.7531231045722961,0.6888710856437683,0.6477640271186829
30,도농한강공원물놀이장,0.6550395488739014,0.7202715277671814,0.685346245765686,0.6432026028633118
31,도시바다낚시터,0.3836792955795924,0.5324705143769582,0.5037264823913574,0.5249140709638596
32,독도 바다낚시터,0.39499403834342955,0.49040872752666476,0.49654717445373536,0.5503881305456162
33,돌고래수상리조트,0.577618482708931,0.707428902387619,0.6758992612361908,0.6489682793617249
34,동검레저바다낚시,0.5098679333925247,0.6417497128248215,0.6323063790798187,0.5992983698844909
35,등대바다낚시터,0.38964633146921795,0.48823346694310504,0.5070902307828268,0.6141982475916544
36,레인보우 서프,0.5427924871444703,0.7206671714782715,0.6760031938552856,0.6106542229652405
37,롱비치 서프스쿨,0.576287466287613,0.7124110400676728,0.6778271853923797,0.628822261095047
38,리버포인트 수상레저,0.5370389938354492,0.6959373772144317,0.6468272507190704,0.620471453666687
39,마정 낚시터 (마정지 낚시터),0.43142589264445835,0.5415993730227152,0.5441134803824954,0.6168686317072974
40,만정민트바다낚시터,0.3225752115249634,0.41035049302237375,0.4168768439974104,0.4942235308034079
41,만정바다좌대낚시터,0.3836792955795924,0.5324705143769582,0.5037264823913574,0.5249140709638596
42,만정사계절바다낚시터,0.4840205550193787,0.583244127035141,0.585557895898819,0.6233810424804688
43,말봉바다낚시터,0.5118787884712219,0.6425541460514068,0.6270557016134262,0.6136261940002441
44,문서프,0.5625127732753754,0.7097078144550324,0.6647864937782287,0.606675672531128
45,미란다 스파플러스,0.5756521105766297,0.7212463617324829,0.6827551484107971,0.6218423247337341
46,바하마수상레포츠,0.4958926737308502,0.6966764211654664,0.6212792217731475,0.5873768150806427
47,배다골테마파크수영장,0.5592010468244553,0.7153024077415466,0.6931357026100159,0.6354869186878205
48,보성비봉마리나,0.5525160564316643,0.6721314456727769,0.6619594891866049,0.6583441926373376
49,봉재낚시터,0.403625613451004,0.5208063125610352,0.5146180510520935,0.5676759332418442
50,부산요트투어 3355마린,0.5727128863334656,0.7054088473320007,0.6741324067115784,0.6277593612670899
51,북한산천연옥워터파크,0.5479324966669082,0.7092095971107483,0.6628443837165833,0.6044192612171173
52,빠지에빠지다수상레저,0.5402261912822723,0.6994536638259887,0.6748559296131134,0.6306602001190186
53,삼막곡낚시터,0.6123591065406799,0.6384522318840027,0.7370211482048035,0.8674169182777405
54,삼인낚시터,0.4260305345058441,0.4966514229774475,0.5043665647506714,0.5206265985965729
55,상덕낚시터,0.5728692412376404,0.6415175100167593,0.6635339260101318,0.7255698144435883
56,상상낚시터,0.4503647446632385,0.5964459419250489,0.5608692467212677,0.5151995420455933
