,name,혼자,액티비티,자연,힐링
0,40계단 문화관광테마거리,0.3934146389365196,0.4211769551038742,0.459097295999527,0.4270794689655304
1,BM스튜디오,0.5726242125034332,0.7011133551597595,0.6746371448040008,0.6148998081684113
2,High Street Italia (하이 스트리트 이탈리아),0.4658186435699463,0.637490451335907,0.6065242290496826,0.6739286780357361
3,MRNW,0.6021116077899933,0.7327932834625244,0.6886354982852936,0.6493223130702972
4,Self Studio 씨잌,0.5590046465396881,0.6921227395534515,0.6633649647235871,0.6353723049163819
5,ㅎㄷcafe (홍대카페),0.5692299336194993,0.6969896852970123,0.6442835867404938,0.6076661050319672
6,㈜놀아본,0.5866108238697052,0.673486053943634,0.6388041377067566,0.6504130959510803
7,가고파 꼬부랑길 벽화마을,0.5781823396682739,0.731966495513916,0.6972723007202148,0.6093523502349854
8,가우도 모노레일,0.5313221037387847,0.6288595855236053,0.6374902546405792,0.6016940832138061
9,갈중이(천연염색체험),0.539084404706955,0.6204904556274414,0.6171778500080108,0.6109572052955627
10,갓바위 문화타운,0.4415379762649536,0.4045708974202474,0.45948851108551025,0.43703073263168335
11,강릉 복사꽃마을,0.2659830152988434,0.31151095032691956,0.2963818907737732,0.26803556084632874
12,강릉안반데기관광농원,0.3799521539892469,0.47382852860859465,0.4763918859618051,0.5351293172155108
13,강주 해바라기 마을,0.5694588124752045,0.6746992230415344,0.6768188297748565,0.6175029098987579
14,강화 원도심 스토리워크,0.588176041841507,0.7059019505977631,0.6746294915676116,0.5835638880729676
15,강화 화개산 모노레일,0.5697101205587387,0.7342560768127442,0.689518803358078,0.6104673087596894
16,강화도 자연체험농장,0.5604907959699631,0.7067522823810577,0.67364861369133,0.6161662876605988
17,거차뻘배마을,0.5888439089059829,0.665884193778038,0.6808218419551849,0.6851373165845871
18,경기전 옆 사진관,0.5546697735786438,0.693550992012024,0.6790906429290772,0.6187478959560394
19,경기해양안전체험관,0.5630837738513946,0.7016154587268829,0.6790174603462219,0.6312839567661286
20,계동배렴가옥,0.4211467087268829,0.4992522060871124,0.4752302348613739,0.5059863030910492
21,고구려목장,0.5673216462135315,0.7230254292488099,0.6845400869846344,0.6320820927619935
22,고래사진관 필름현상소,0.5737404257059098,0.6877979755401611,0.6638545870780945,0.621961572766304
23,고소동 천사벽화마을,0.4296464592218399,0.5478528320789338,0.5178472757339477,0.4764437198638916
24,고씨딸기체험농원,0.503826454281807,0.66028833091259,0.6270375847816467,0.5880849450826645
25,고양낙농치즈테마체험장,0.5804889410734176,0.7101702570915223,0.6805322945117951,0.6308932602405548
26,고창하전갯벌마을,0.5211848229169845,0.6400362998247147,0.6494787514209748,0.658070108294487
27,공수전리 마을관리휴양지,0.5224622587362925,0.5983794828255972,0.6445748805999756,0.6892274916172028
28,공주치즈스쿨,0.47970302899678546,0.5977309147516886,0.5835693776607513,0.5599289039770762
29,관사골작업실 협동조합,0.5554340879122416,0.7219042778015137,0.6647806962331136,0.6388938426971436
30,광복로문화패션거리,0.4547368117741176,0.5673290320805141,0.5626251782689776,0.5095023597989764
31,광안리해변 테마거리,0.5845981736977895,0.6494515836238861,0.6676253378391266,0.6608095169067383
32,구 서도역 영상촬영장,0.4600988669054849,0.5910548056874957,0.5929695112364632,0.5387356281280518
33,구례목재문화체험장,0.3477045983076096,0.39449542760849,0.3891953408718109,0.4094906568527222
