,name,addr1,cat1,cat2,cat3,힐링_int,혼자_int,자연_int,액티비티_int,province,city
0,scg스포츠아카데미,서울특별시 은평구 통일로 1050,A03,A0305,A03050100,0,0,0,0,서울특별시,은평구
1,골든블루 키즈빌리지,서울특별시 송파구 동남로 189 가락쌍용아파트,A03,A0305,A03050100,0,0,0,0,서울특별시,송파구
2,대봉스카이랜드 모노레일 앤 짚라인,경상남도 함양군 병곡면 병곡지곡로 333-2,A03,A0305,A03050100,0,0,0,0,경상남도,함양군
3,라플라이,제주특별자치도 제주시 조천읍 선흘리,A03,A0305,A03050100,0,0,0,0,제주특별자치도,제주시
4,레전드히어로즈 잠실롯데월드몰점,서울특별시 송파구 신천동 29 롯데월드타워앤드롯데월드몰,A03,A0305,A03050100,0,0,0,1,서울특별시,송파구
5,레포밸리,강원특별자치도 양양군 고노동길 98-50,A03,A0305,A03050100,0,0,1,1,강원특별자치도,양양군
6,바운스슈퍼파크 수원영통센터,경기도 수원시 영통구 덕영대로 1566 (영통동),A03,A0305,A03050100,0,0,0,0,경기도,수원시
7,샘마을레저파크,강원특별자치도 춘천시 남산면 방하로 429,A03,A0305,A03050100,0,0,0,0,강원특별자치도,춘천시
8,순담레저,강원특별자치도 철원군 갈말읍 순담길 149,A03,A0305,A03050100,0,0,0,0,강원특별자치도,철원군
9,제주빅볼랜드,제주특별자치도 제주시 구좌읍 송당리,A03,A0305,A03050100,0,0,0,0,제주특별자치도,제주시
10,제천 산악체험장,충청북도 제천시 금성면 청풍호로39길 100,A03,A0305,A03050100,0,0,0,0,충청북도,제천시
11,짚 스카이라운지,충청남도 보령시 해수욕장10길 79 (신흑동),A03,A0305,A03050100,0,0,0,0,충청남도,보령시
12,클라임바운스 수원점,경기도 수원시 영통구 덕영대로 1566 (영통동),A03,A0305,A03050100,1,0,0,0,경기도,수원시
13,해담마을 수륙양용차,강원특별자치도 양양군 서면 구룡령로 2110-17,A03,A0305,A03050100,1,0,1,0,강원특별자치도,양양군
14,홍천 가리산 레포츠파크,강원특별자치도 홍천군 두촌면 가리산길 426,A03,A0305,A03050100,0,0,0,0,강원특별자치도,홍천군
