,name,addr1,cat1,cat2,cat3,힐링_int,혼자_int,자연_int,액티비티_int,province,city
90,용담바다낚시터,인천광역시 옹진군 영흥면 외리 21,A03,A0303,A03030600,1,0,1,0,인천광역시,옹진군
91,용인수상스키장,경기도 용인시 처인구 이동읍 어진로 765,A03,A0303,A03030100,0,0,0,0,경기도,용인시
92,우금낚시공원,경기도 포천시 가산면 우금6길 43-44,A03,A0303,A03030500,0,0,0,0,경기도,포천시
93,울산중구도시관리공단수영장,울산광역시 중구 종가로 305 (우정동),A03,A0303,A03030700,1,0,0,1,울산광역시,중구
94,위도바다낚시,전북특별자치도 부안군 위도면 진리안길,A03,A0303,A03030600,0,0,0,0,전북특별자치도,부안군
95,유성호텔 실내수영장,대전광역시 유성구 온천로 9,A03,A0303,A03030700,0,0,0,0,대전광역시,유성구
96,음성용대리낚시터(용대리가든낚시터),충청북도 음성군 삼성면 덕호로 360,A03,A0303,A03030500,0,1,0,0,충청북도,음성군
97,인산낚시터,인천광역시 강화군 양도면 중앙로787번길 8-1,A03,A0303,A03030500,0,0,0,0,인천광역시,강화군
98,인천락실내바다낚시터,인천광역시 서구 한서로 36-10,A03,A0303,A03030600,1,0,1,0,인천광역시,서구
99,일영한씨네,경기도 양주시 장흥면 삼상리,A03,A0303,A03030700,0,0,1,0,경기도,양주시
100,장광낚시터,경기도 안성시 죽산면 관앞길 103-6,A03,A0303,A03030500,0,0,0,0,경기도,안성시
101,장수논개수상레저,전북특별자치도 장수군 장계면 의암로 632-77,A03,A0303,A03030100,1,0,0,0,전북특별자치도,장수군
102,장호어촌체험마을 투명카누,강원특별자치도 삼척시 근덕면 장호항길 111,A03,A0303,A03030200,1,0,1,0,강원특별자치도,삼척시
103,정성레저낚시터,인천광역시 중구 백운로186번길 140-1,A03,A0303,A03030600,0,0,0,0,인천광역시,중구
104,조부장 바다낚시터,경기도 안산시 단원구 구봉길 55,A03,A0303,A03030600,0,0,0,0,경기도,안산시
105,주봉낚시터,충청북도 음성군 원남면 주봉로 141,A03,A0303,A03030500,0,0,0,0,충청북도,음성군
106,주전항,울산광역시 동구 주전해안길 86,A03,A0303,A03030600,0,0,0,0,울산광역시,동구
107,차귀도요트,제주특별자치도 제주시 한경면 한경해안로 156,A03,A0303,A03030300,0,0,1,1,제주특별자치도,제주시
108,청아투명카약,제주특별자치도 제주시 애월읍 애월로 11,A03,A0303,A03030200,1,0,1,0,제주특별자치도,제주시
109,충주 포세이돈 수상레저(포세이돈수상스키장),충청북도 충주시 살미면 월악로 1087,A03,A0303,A03030100,1,0,1,1,충청북도,충주시
110,칠봉산 낚시터,경기도 양주시 천보산로 201,A03,A0303,A03030500,0,0,1,0,경기도,양주시
111,키즈돌핀 서대문DMC점,"서울특별시 서대문구 수색로 102 (북가좌동, DMC요진아파트)",A03,A0303,A03030700,1,0,1,1,서울특별시,서대문구
112,키튼드림센터,경상남도 진주시 서장대로61번길 11,A03,A0303,A03030700,1,0,0,1,경상남도,진주시
113,킹카누 나루터,강원특별자치도 춘천시 송암동,A03,A0303,A03030200,0,0,1,0,강원특별자치도,춘천시
114,탄천종합운동장 수영장,경기도 성남시 분당구 야탑동,A03,A0303,A03030700,1,0,0,1,경기도,성남시
115,탑코리아수상레저,경기도 가평군 설악면 미사리로645번길 258,A03,A0303,A03030100,0,0,0,0,경기도,가평군
116,태용래프팅,강원특별자치도 영월군 영월읍 동강로 871-18,A03,A0303,A03030800,0,0,0,0,강원특별자치도,영월군
