,name,naverURL
30,강릉 남산공원,"https://map.naver.com/p/search/%EA%B0%95%EB%A6%89%20%EB%82%A8%EC%82%B0%EA%B3%B5%EC%9B%90/place/15693581?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
31,강릉 안목해맞이공원,"https://map.naver.com/p/search/%EA%B0%95%EB%A6%89%20%EC%95%88%EB%AA%A9%ED%95%B4%EB%A7%9E%EC%9D%B4%EA%B3%B5%EC%9B%90/place/939463951?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
32,강변공원,"https://map.naver.com/p/search/%EA%B0%95%EB%B3%80%EA%B3%B5%EC%9B%90/?c=15.00,0,0,0,dh"
33,강변스파랜드,"https://map.naver.com/p/search/%EA%B0%95%EB%B3%80%EC%8A%A4%ED%8C%8C%EB%9E%9C%EB%93%9C/place/11680318?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
34,강상체육공원,"https://map.naver.com/p/search/%EA%B0%95%EC%83%81%EC%B2%B4%EC%9C%A1%EA%B3%B5%EC%9B%90/?c=15.00,0,0,0,dh"
35,강서체육공원,"https://map.naver.com/p/search/%EA%B0%95%EC%84%9C%EC%B2%B4%EC%9C%A1%EA%B3%B5%EC%9B%90/?c=15.00,0,0,0,dh"
36,강서한강공원,"https://map.naver.com/p/search/%EA%B0%95%EC%84%9C%ED%95%9C%EA%B0%95%EA%B3%B5%EC%9B%90/?c=15.00,0,0,0,dh"
37,강아지숲,"https://map.naver.com/p/search/%EA%B0%95%EC%95%84%EC%A7%80%EC%88%B2/?c=15.00,0,0,0,dh"
38,강원참숯,"https://map.naver.com/p/search/%EA%B0%95%EC%9B%90%EC%B0%B8%EC%88%AF/?c=15.00,0,0,0,dh"
39,강재구공원,"https://map.naver.com/p/search/%EA%B0%95%EC%9E%AC%EA%B5%AC%EA%B3%B5%EC%9B%90/?c=15.00,0,0,0,dh"
40,강정고령보,"https://map.naver.com/p/search/%EA%B0%95%EC%A0%95%EA%B3%A0%EB%A0%B9%EB%B3%B4/?c=15.00,0,0,0,dh"
41,강촌 출렁다리공원,"https://map.naver.com/p/search/%EA%B0%95%EC%B4%8C%20%EC%B6%9C%EB%A0%81%EB%8B%A4%EB%A6%AC%EA%B3%B5%EC%9B%90/place/695865742?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
42,강촌랜드,"https://map.naver.com/p/search/%EA%B0%95%EC%B4%8C%EB%9E%9C%EB%93%9C/?c=15.00,0,0,0,dh"
