,name,naverURL
0,강경수상레져종합타운,"https://map.naver.com/p/search/%EA%B0%95%EA%B2%BD%EC%88%98%EC%83%81%EB%A0%88%EC%A0%B8%EC%A2%85%ED%95%A9%ED%83%80%EC%9A%B4/place/12774521?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
1,강촌테마랜드,"https://map.naver.com/p/search/%EA%B0%95%EC%B4%8C%ED%85%8C%EB%A7%88%EB%9E%9C%EB%93%9C/?c=15.00,0,0,0,dh"
2,강화레포츠파크,"https://map.naver.com/p/search/%EA%B0%95%ED%99%94%EB%A0%88%ED%8F%AC%EC%B8%A0%ED%8C%8C%ED%81%AC/?c=15.00,0,0,0,dh"
3,거제 덕포랜드 씨라인,"https://map.naver.com/p/search/%EA%B1%B0%EC%A0%9C%20%EB%8D%95%ED%8F%AC%EB%9E%9C%EB%93%9C%20%EC%94%A8%EB%9D%BC%EC%9D%B8/?c=15.00,0,0,0,dh"
4,골든블루 키즈빌리지,"https://map.naver.com/p/search/%EA%B3%A8%EB%93%A0%EB%B8%94%EB%A3%A8%20%ED%82%A4%EC%A6%88%EB%B9%8C%EB%A6%AC%EC%A7%80/place/1707078577?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
5,대봉스카이랜드 모노레일 앤 짚라인,"https://map.naver.com/p/search/%EB%8C%80%EB%B4%89%EC%8A%A4%EC%B9%B4%EC%9D%B4%EB%9E%9C%EB%93%9C%20%EB%AA%A8%EB%85%B8%EB%A0%88%EC%9D%BC%20%EC%95%A4%20%EC%A7%9A%EB%9D%BC%EC%9D%B8/place/1540080637?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
6,동강레포츠,"https://map.naver.com/p/search/%EB%8F%99%EA%B0%95%EB%A0%88%ED%8F%AC%EC%B8%A0/?c=15.00,0,0,0,dh"
7,라온레포츠,"https://map.naver.com/p/search/%EB%9D%BC%EC%98%A8%EB%A0%88%ED%8F%AC%EC%B8%A0/?c=15.00,0,0,0,dh"
8,라플라이,"https://map.naver.com/p/search/%EB%9D%BC%ED%94%8C%EB%9D%BC%EC%9D%B4/place/1837092381?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
9,레저테마파크,"https://map.naver.com/p/search/%EB%A0%88%EC%A0%80%ED%85%8C%EB%A7%88%ED%8C%8C%ED%81%AC/?c=15.00,0,0,0,dh"
10,레전드히어로즈 잠실롯데월드몰점,"https://map.naver.com/p/search/%EB%A0%88%EC%A0%84%EB%93%9C%ED%9E%88%EC%96%B4%EB%A1%9C%EC%A6%88%20%EC%9E%A0%EC%8B%A4%EB%A1%AF%EB%8D%B0%EC%9B%94%EB%93%9C%EB%AA%B0%EC%A0%90/place/1620414251?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
11,레포밸리,"https://map.naver.com/p/search/%EB%A0%88%ED%8F%AC%EB%B0%B8%EB%A6%AC/place/671954929?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
12,레포츠114,"https://map.naver.com/p/search/%EB%A0%88%ED%8F%AC%EC%B8%A0114/?c=15.00,0,0,0,dh"
13,무주레저스쿨,"https://map.naver.com/p/search/%EB%AC%B4%EC%A3%BC%EB%A0%88%EC%A0%80%EC%8A%A4%EC%BF%A8/?c=15.00,0,0,0,dh"
14,무주스피드레져,"https://map.naver.com/p/search/%EB%AC%B4%EC%A3%BC%EC%8A%A4%ED%94%BC%EB%93%9C%EB%A0%88%EC%A0%B8/place/1503526779?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
15,바운스슈퍼파크 수원영통센터,"https://map.naver.com/p/search/%EB%B0%94%EC%9A%B4%EC%8A%A4%EC%8A%88%ED%8D%BC%ED%8C%8C%ED%81%AC%20%EC%88%98%EC%9B%90%EC%98%81%ED%86%B5%EC%84%BC%ED%84%B0/place/1290652280?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
16,반딧불레저,"https://map.naver.com/p/search/%EB%B0%98%EB%94%A7%EB%B6%88%EB%A0%88%EC%A0%80/?c=15.00,0,0,0,dh"
17,비발디파크 스카이스윙,"https://map.naver.com/p/search/%EB%B9%84%EB%B0%9C%EB%94%94%ED%8C%8C%ED%81%AC%20%EC%8A%A4%EC%B9%B4%EC%9D%B4%EC%8A%A4%EC%9C%99/?c=15.00,0,0,0,dh"
18,삼척 해양레일바이크,"https://map.naver.com/p/search/%EC%82%BC%EC%B2%99%20%ED%95%B4%EC%96%91%EB%A0%88%EC%9D%BC%EB%B0%94%EC%9D%B4%ED%81%AC/?c=15.00,0,0,0,dh"
19,샘마을레저파크,"https://map.naver.com/p/search/%EC%83%98%EB%A7%88%EC%9D%84%EB%A0%88%EC%A0%80%ED%8C%8C%ED%81%AC/place/1998899774?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
20,세리월드,"https://map.naver.com/p/search/%EC%84%B8%EB%A6%AC%EC%9B%94%EB%93%9C/?c=15.00,0,0,0,dh"
21,순담레저,"https://map.naver.com/p/search/%EC%88%9C%EB%8B%B4%EB%A0%88%EC%A0%80/place/12163948?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
22,시흥웨이브파크,"https://map.naver.com/p/search/%EC%8B%9C%ED%9D%A5%EC%9B%A8%EC%9D%B4%EB%B8%8C%ED%8C%8C%ED%81%AC/?c=15.00,0,0,0,dh"
23,쎄시봉,"https://map.naver.com/p/search/%EC%8E%84%EC%8B%9C%EB%B4%89/?c=15.00,0,0,0,dh"
24,아라나비(스카이 어촌체험),"https://map.naver.com/p/search/%EC%95%84%EB%9D%BC%EB%82%98%EB%B9%84%28%EC%8A%A4%EC%B9%B4%EC%9D%B4%20%EC%96%B4%EC%B4%8C%EC%B2%B4%ED%97%98%29/?c=15.00,0,0,0,dh"
25,"아리힐스 리조트(스카이워크, 녹색모험의 숲)","https://map.naver.com/p/search/%EC%95%84%EB%A6%AC%ED%9E%90%EC%8A%A4%20%EB%A6%AC%EC%A1%B0%ED%8A%B8%28%EC%8A%A4%EC%B9%B4%EC%9D%B4%EC%9B%8C%ED%81%AC%2C%20%EB%85%B9%EC%83%89%EB%AA%A8%ED%97%98%EC%9D%98%20%EC%88%B2%29/?c=15.00,0,0,0,dh"
26,에어링화천,"https://map.naver.com/p/search/%EC%97%90%EC%96%B4%EB%A7%81%ED%99%94%EC%B2%9C/?c=15.00,0,0,0,dh"
27,완주 에코 어드벤처,"https://map.naver.com/p/search/%EC%99%84%EC%A3%BC%20%EC%97%90%EC%BD%94%20%EC%96%B4%EB%93%9C%EB%B2%A4%EC%B2%98/?c=15.00,0,0,0,dh"
28,용인자연휴양림 에코어드벤처,"https://map.naver.com/p/search/%EC%9A%A9%EC%9D%B8%EC%9E%90%EC%97%B0%ED%9C%B4%EC%96%91%EB%A6%BC%20%EC%97%90%EC%BD%94%EC%96%B4%EB%93%9C%EB%B2%A4%EC%B2%98/?c=15.00,0,0,0,dh"
29,인제나르샤파크(구. 인제 밀리터리 테마파크),"https://map.naver.com/p/search/%EC%9D%B8%EC%A0%9C%EB%82%98%EB%A5%B4%EC%83%A4%ED%8C%8C%ED%81%AC%28%EA%B5%AC.%20%EC%9D%B8%EC%A0%9C%20%EB%B0%80%EB%A6%AC%ED%84%B0%EB%A6%AC%20%ED%85%8C%EB%A7%88%ED%8C%8C%ED%81%AC%29/?c=15.00,0,0,0,dh"
30,임진각평화곤돌라(파주디엠지곤돌라),"https://map.naver.com/p/search/%EC%9E%84%EC%A7%84%EA%B0%81%ED%8F%89%ED%99%94%EA%B3%A4%EB%8F%8C%EB%9D%BC%28%ED%8C%8C%EC%A3%BC%EB%94%94%EC%97%A0%EC%A7%80%EA%B3%A4%EB%8F%8C%EB%9D%BC%29/?c=15.00,0,0,0,dh"
31,잭슨나인스 양산점,"https://map.naver.com/p/search/%EC%9E%AD%EC%8A%A8%EB%82%98%EC%9D%B8%EC%8A%A4%20%EC%96%91%EC%82%B0%EC%A0%90/?c=13.00,0,0,0,dh"
32,제부랜드,"https://map.naver.com/p/search/%EC%A0%9C%EB%B6%80%EB%9E%9C%EB%93%9C/?c=15.00,0,0,0,dh"
33,제주레포츠랜드㈜,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%EB%A0%88%ED%8F%AC%EC%B8%A0%EB%9E%9C%EB%93%9C%E3%88%9C/?c=15.00,0,0,0,dh"
34,제주빅볼랜드,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%EB%B9%85%EB%B3%BC%EB%9E%9C%EB%93%9C/place/36960447?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
35,제주해양레저,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%ED%95%B4%EC%96%91%EB%A0%88%EC%A0%80/?c=15.00,0,0,0,dh"
36,제천 산악체험장,"https://map.naver.com/p/search/%EC%A0%9C%EC%B2%9C%20%EC%82%B0%EC%95%85%EC%B2%B4%ED%97%98%EC%9E%A5/place/38248782?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
37,짚 스카이라운지,"https://map.naver.com/p/search/%EC%A7%9A%20%EC%8A%A4%EC%B9%B4%EC%9D%B4%EB%9D%BC%EC%9A%B4%EC%A7%80/place/36725928?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
38,철원관광레저,"https://map.naver.com/p/search/%EC%B2%A0%EC%9B%90%EA%B4%80%EA%B4%91%EB%A0%88%EC%A0%80/?c=15.00,0,0,0,dh"
39,청라호수공원피노키오놀이터,"https://map.naver.com/p/search/%EC%B2%AD%EB%9D%BC%ED%98%B8%EC%88%98%EA%B3%B5%EC%9B%90%ED%94%BC%EB%85%B8%ED%82%A4%EC%98%A4%EB%86%80%EC%9D%B4%ED%84%B0/?c=15.00,0,0,0,dh"
40,카트조이,"https://map.naver.com/p/search/%EC%B9%B4%ED%8A%B8%EC%A1%B0%EC%9D%B4/place/11831286?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
