,addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
21,강원특별자치도 철원군 갈말읍 순담길 149,,32,,A03,A0305,A03050100,131921,28,20070411090000,http://tong.visitkorea.or.kr/cms/resource/00/1846400_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/1846400_image3_1.jpg,Type3,127.2975797445,38.1768583529,6,20230701140508,12,,순담레저,24032
22,경기도 시흥시 거북섬둘레길 42,,31,,A03,A0305,A03050100,2678888,28,20201027015147,,,,126.6806993687,37.3241520972,6,20240422172934,14,,시흥웨이브파크,15119
23,경기도 양평군 강상면 독배길 32-25,,31,,A03,A0305,A03050100,2755446,28,20211012182504,http://tong.visitkorea.or.kr/cms/resource/76/2755876_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/2755876_image2_1.jpg,Type3,127.4734614300,37.4936522290,6,20231011154218,19,,쎄시봉,12571
24,강원특별자치도 강릉시 공항길127번길 35-7,,32,,A03,A0305,A03050100,1009525,28,20100428013758,,,,128.9515529876,37.7667541230,6,20230701141217,1,033-641-9002,아라나비(스카이 어촌체험),25617
25,강원특별자치도 정선군 정선읍 병방치길 225,,32,,A03,A0305,A03050100,2710742,28,20210324025217,,,,128.6354715236,37.3623780337,,20230802210921,11,,"아리힐스 리조트(스카이워크, 녹색모험의 숲)",26134
26,강원특별자치도 화천군 화천읍 강변로 2-54,,32,0,A03,A0305,A03050100,2568665,12,20181122021353,http://tong.visitkorea.or.kr/cms/resource/04/2566404_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/2566404_image3_1.jpg,Type3,127.6970121290,38.1007385507,6,20230703144717,17,,에어링화천,24131
27,전북특별자치도 완주군 고산면 고산휴양림로 246,,37,,A03,A0305,A03050100,1961485,28,202401181743,http://tong.visitkorea.or.kr/cms/resource/35/1363035_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/1363035_image3_1.jpg,Type3,127.2331252962,35.9629766259,6,20240118174312,8,,완주 에코 어드벤처,55312
28,경기도 용인시 처인구 모현읍 초부로 220,,31,,A03,A0305,A03050100,1908140,28,20140326183813,http://tong.visitkorea.or.kr/cms/resource/73/1824273_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/1824273_image3_1.jpg,Type3,127.2678601788,37.3149247516,6,20231208144711,23,,용인자연휴양림 에코어드벤처,17037
29,강원특별자치도 인제군 인제읍 비봉로44번길 81,,32,,A03,A0305,A03050100,1911434,28,20140407192826,,,,128.1678565439,38.0605604607,6,20230701141123,10,,인제나르샤파크(구. 인제 밀리터리 테마파크),24624
30,경기도 파주시 문산읍 임진각로 148-73,,31,,A03,A0305,A03050100,2764501,28,20211028191757,http://tong.visitkorea.or.kr/cms/resource/74/2764374_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2764374_image2_1.jpg,Type3,126.7402919011,37.8915065690,6,20230308132512,27,,임진각평화곤돌라(파주디엠지곤돌라),10808
31,경상남도 양산시 증산역로 177 라피에스타,지하 1층,36,,A03,A0305,A03050100,3000529,28,20230825111212,,,,129.0094085584,35.3099157630,6,20230828122826,10,,잭슨나인스 양산점,50653
32,경기도 화성시 서신면 제부리,,31,,A03,A0305,A03050100,3017550,28,20231004151159,http://tong.visitkorea.or.kr/cms/resource/84/3004184_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/3004184_image3_1.jpg,Type3,126.6178816897,37.1645250538,6,20231004151220,31,,제부랜드,18553
33,제주특별자치도 제주시 조천읍 와흘상서2길 47,,39,,A03,A0305,A03050100,2522221,28,20171214022343,,,,126.6381496945,33.4821813471,6,20231227094640,4,,제주레포츠랜드㈜,63344
34,제주특별자치도 제주시 구좌읍 송당리,산164-4,39,,A03,A0305,A03050100,2498698,28,20170704183539,http://tong.visitkorea.or.kr/cms/resource/85/2498685_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2498685_image3_1.jpg,Type3,126.7749137162,33.4432295160,6,20230802194729,4,,제주빅볼랜드,63355
35,제주특별자치도 서귀포시 중문관광로 192,,39,,A03,A0305,A03050100,131623,28,20030402090000,http://tong.visitkorea.or.kr/cms/resource/63/1930963_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/1930963_image3_1.jpg,Type3,126.4190129892,33.2432598241,6,20230627134424,3,,제주해양레저,63547
36,충청북도 제천시 금성면 청풍호로39길 100,,33,,A03,A0305,A03050100,2769855,28,20211108224307,http://tong.visitkorea.or.kr/cms/resource/09/2769909_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/2769909_image2_1.jpg,Type3,128.1879354262,37.0284552455,6,20230118141049,7,,제천 산악체험장,27211
37,충청남도 보령시 해수욕장10길 79 (신흑동),,34,,A03,A0305,A03050100,3022725,28,20231023140810,http://tong.visitkorea.or.kr/cms/resource/66/3022566_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/3022566_image3_1.jpg,Type3,126.5061004302,36.3208842585,6,20231023161904,5,,짚 스카이라운지,33489
