,Unnamed: 0,name,naverURL,contains_review
79,79,강릉 노추산힐링캠프,"https://map.naver.com/p/search/%EA%B0%95%EB%A6%89%20%EB%85%B8%EC%B6%94%EC%82%B0%ED%9E%90%EB%A7%81%EC%BA%A0%ED%94%84/place/35326447?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
81,81,강릉경포카라반파크,"https://map.naver.com/p/search/%EA%B0%95%EB%A6%89%EA%B2%BD%ED%8F%AC%EC%B9%B4%EB%9D%BC%EB%B0%98%ED%8C%8C%ED%81%AC/place/38464010?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
83,83,강릉시 청소년 해양수련원,"https://map.naver.com/p/search/%EA%B0%95%EB%A6%89%EC%8B%9C%20%EC%B2%AD%EC%86%8C%EB%85%84%20%ED%95%B4%EC%96%91%EC%88%98%EB%A0%A8%EC%9B%90/place/15698431?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
85,85,강릉여행 굿캠핑,"https://map.naver.com/p/search/%EA%B0%95%EB%A6%89%EC%97%AC%ED%96%89%20%EA%B5%BF%EC%BA%A0%ED%95%91/place/1089326230?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
86,86,강릉컬링센터 (강릉실내빙상장),"https://map.naver.com/p/search/%EA%B0%95%EB%A6%89%EC%BB%AC%EB%A7%81%EC%84%BC%ED%84%B0%20%28%EA%B0%95%EB%A6%89%EC%8B%A4%EB%82%B4%EB%B9%99%EC%83%81%EC%9E%A5%29/place/20118941?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
88,88,강변글램핑,"https://map.naver.com/p/search/%EA%B0%95%EB%B3%80%EA%B8%80%EB%9E%A8%ED%95%91/place/1140824118?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
92,92,강산에레포츠,"https://map.naver.com/p/search/%EA%B0%95%EC%82%B0%EC%97%90%EB%A0%88%ED%8F%AC%EC%B8%A0/place/1291245309?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
93,93,강서청소년회관,"https://map.naver.com/p/search/%EA%B0%95%EC%84%9C%EC%B2%AD%EC%86%8C%EB%85%84%ED%9A%8C%EA%B4%80/place/12306896?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
96,96,강원도자연학습원,"https://map.naver.com/p/search/%EA%B0%95%EC%9B%90%EB%8F%84%EC%9E%90%EC%97%B0%ED%95%99%EC%8A%B5%EC%9B%90/place/1148276357?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
128,128,강촌레일파크경강레일바이크,"https://map.naver.com/p/search/%EA%B0%95%EC%B4%8C%EB%A0%88%EC%9D%BC%ED%8C%8C%ED%81%AC%EA%B2%BD%EA%B0%95%EB%A0%88%EC%9D%BC%EB%B0%94%EC%9D%B4%ED%81%AC/place/30840801?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
133,133,강화 버팔로 캠팜,"https://map.naver.com/p/search/%EA%B0%95%ED%99%94%20%EB%B2%84%ED%8C%94%EB%A1%9C%20%EC%BA%A0%ED%8C%9C/place/1043996070?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
136,136,강화나들 8코스,"https://map.naver.com/p/search/%EA%B0%95%ED%99%94%EB%82%98%EB%93%A4%208%EC%BD%94%EC%8A%A4/place/16641003?c=12.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
137,137,강화나들길11코스(석모도바람길),"https://map.naver.com/p/search/%EA%B0%95%ED%99%94%EB%82%98%EB%93%A4%EA%B8%B811%EC%BD%94%EC%8A%A4%28%EC%84%9D%EB%AA%A8%EB%8F%84%EB%B0%94%EB%9E%8C%EA%B8%B8%29/place/21536105?c=12.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
139,139,강화도교동아일랜드카라반,"https://map.naver.com/p/search/%EA%B0%95%ED%99%94%EB%8F%84%EA%B5%90%EB%8F%99%EC%95%84%EC%9D%BC%EB%9E%9C%EB%93%9C%EC%B9%B4%EB%9D%BC%EB%B0%98/place/1620865084?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
140,140,강화도산들애캠핑수영장,"https://map.naver.com/p/search/%EA%B0%95%ED%99%94%EB%8F%84%EC%82%B0%EB%93%A4%EC%95%A0%EC%BA%A0%ED%95%91%EC%88%98%EC%98%81%EC%9E%A5/place/36310224?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
143,143,강화무지개글램핑,"https://map.naver.com/p/search/%EA%B0%95%ED%99%94%EB%AC%B4%EC%A7%80%EA%B0%9C%EA%B8%80%EB%9E%A8%ED%95%91/place/1651259249?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
145,145,강화캠핑파크,"https://map.naver.com/p/search/%EA%B0%95%ED%99%94%EC%BA%A0%ED%95%91%ED%8C%8C%ED%81%AC/place/30824328?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
161,161,거제오션뷰카트체험장,"https://map.naver.com/p/search/%EA%B1%B0%EC%A0%9C%EC%98%A4%EC%85%98%EB%B7%B0%EC%B9%B4%ED%8A%B8%EC%B2%B4%ED%97%98%EC%9E%A5/place/1195732187?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
167,167,검단산숲에 캠핑장,"https://map.naver.com/p/search/%EA%B2%80%EB%8B%A8%EC%82%B0%EC%88%B2%EC%97%90%20%EC%BA%A0%ED%95%91%EC%9E%A5/place/1967731304?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
178,178,경상북도교육청 포항산누리오토캠핑장,"https://map.naver.com/p/search/%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84%EA%B5%90%EC%9C%A1%EC%B2%AD%20%ED%8F%AC%ED%95%AD%EC%82%B0%EB%88%84%EB%A6%AC%EC%98%A4%ED%86%A0%EC%BA%A0%ED%95%91%EC%9E%A5/place/1856008118?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
179,179,경상북도교육청김천오토캠핑장,"https://map.naver.com/p/search/%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84%EA%B5%90%EC%9C%A1%EC%B2%AD%EA%B9%80%EC%B2%9C%EC%98%A4%ED%86%A0%EC%BA%A0%ED%95%91%EC%9E%A5/place/1783557363?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
