,Unnamed: 0,name,naverURL,contains_review
0,0,강경수상레져종합타운,"https://map.naver.com/p/search/%EA%B0%95%EA%B2%BD%EC%88%98%EC%83%81%EB%A0%88%EC%A0%B8%EC%A2%85%ED%95%A9%ED%83%80%EC%9A%B4/place/12774521?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
4,4,골든블루 키즈빌리지,"https://map.naver.com/p/search/%EA%B3%A8%EB%93%A0%EB%B8%94%EB%A3%A8%20%ED%82%A4%EC%A6%88%EB%B9%8C%EB%A6%AC%EC%A7%80/place/1707078577?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
5,5,대봉스카이랜드 모노레일 앤 짚라인,"https://map.naver.com/p/search/%EB%8C%80%EB%B4%89%EC%8A%A4%EC%B9%B4%EC%9D%B4%EB%9E%9C%EB%93%9C%20%EB%AA%A8%EB%85%B8%EB%A0%88%EC%9D%BC%20%EC%95%A4%20%EC%A7%9A%EB%9D%BC%EC%9D%B8/place/1540080637?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
8,8,라플라이,"https://map.naver.com/p/search/%EB%9D%BC%ED%94%8C%EB%9D%BC%EC%9D%B4/place/1837092381?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
10,10,레전드히어로즈 잠실롯데월드몰점,"https://map.naver.com/p/search/%EB%A0%88%EC%A0%84%EB%93%9C%ED%9E%88%EC%96%B4%EB%A1%9C%EC%A6%88%20%EC%9E%A0%EC%8B%A4%EB%A1%AF%EB%8D%B0%EC%9B%94%EB%93%9C%EB%AA%B0%EC%A0%90/place/1620414251?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
11,11,레포밸리,"https://map.naver.com/p/search/%EB%A0%88%ED%8F%AC%EB%B0%B8%EB%A6%AC/place/671954929?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
14,14,무주스피드레져,"https://map.naver.com/p/search/%EB%AC%B4%EC%A3%BC%EC%8A%A4%ED%94%BC%EB%93%9C%EB%A0%88%EC%A0%B8/place/1503526779?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
15,15,바운스슈퍼파크 수원영통센터,"https://map.naver.com/p/search/%EB%B0%94%EC%9A%B4%EC%8A%A4%EC%8A%88%ED%8D%BC%ED%8C%8C%ED%81%AC%20%EC%88%98%EC%9B%90%EC%98%81%ED%86%B5%EC%84%BC%ED%84%B0/place/1290652280?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
19,19,샘마을레저파크,"https://map.naver.com/p/search/%EC%83%98%EB%A7%88%EC%9D%84%EB%A0%88%EC%A0%80%ED%8C%8C%ED%81%AC/place/1998899774?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
21,21,순담레저,"https://map.naver.com/p/search/%EC%88%9C%EB%8B%B4%EB%A0%88%EC%A0%80/place/12163948?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
34,34,제주빅볼랜드,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%EB%B9%85%EB%B3%BC%EB%9E%9C%EB%93%9C/place/36960447?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
36,36,제천 산악체험장,"https://map.naver.com/p/search/%EC%A0%9C%EC%B2%9C%20%EC%82%B0%EC%95%85%EC%B2%B4%ED%97%98%EC%9E%A5/place/38248782?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
37,37,짚 스카이라운지,"https://map.naver.com/p/search/%EC%A7%9A%20%EC%8A%A4%EC%B9%B4%EC%9D%B4%EB%9D%BC%EC%9A%B4%EC%A7%80/place/36725928?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
40,40,카트조이,"https://map.naver.com/p/search/%EC%B9%B4%ED%8A%B8%EC%A1%B0%EC%9D%B4/place/11831286?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
41,41,코리아레저캠프,"https://map.naver.com/p/search/%EC%BD%94%EB%A6%AC%EC%95%84%EB%A0%88%EC%A0%80%EC%BA%A0%ED%94%84/place/11864290?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
