,Unnamed: 0,name,naverURL,contains_review
1,1,공주 경비행기,"https://map.naver.com/p/search/%EA%B3%B5%EC%A3%BC%20%EA%B2%BD%EB%B9%84%ED%96%89%EA%B8%B0/place/11704703?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
2,2,구재봉활공장,"https://map.naver.com/p/search/%EA%B5%AC%EC%9E%AC%EB%B4%89%ED%99%9C%EA%B3%B5%EC%9E%A5/place/96792463?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
3,3,군산 패러글라이딩 스쿨,"https://map.naver.com/p/search/%EA%B5%B0%EC%82%B0%20%ED%8C%A8%EB%9F%AC%EA%B8%80%EB%9D%BC%EC%9D%B4%EB%94%A9%20%EC%8A%A4%EC%BF%A8/place/1726387092?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
5,5,단양 패러 명가,"https://map.naver.com/p/search/%EB%8B%A8%EC%96%91%20%ED%8C%A8%EB%9F%AC%20%EB%AA%85%EA%B0%80/place/1260413759?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
6,6,단양 패러글라이딩 패러는 내친구,"https://map.naver.com/p/search/%EB%8B%A8%EC%96%91%20%ED%8C%A8%EB%9F%AC%EA%B8%80%EB%9D%BC%EC%9D%B4%EB%94%A9%20%ED%8C%A8%EB%9F%AC%EB%8A%94%20%EB%82%B4%EC%B9%9C%EA%B5%AC/place/1874414683?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
7,7,단양 패러일번지,"https://map.naver.com/p/search/%EB%8B%A8%EC%96%91%20%ED%8C%A8%EB%9F%AC%EC%9D%BC%EB%B2%88%EC%A7%80/place/557246705?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
8,8,단양드림레저 패러글라이딩,"https://map.naver.com/p/search/%EB%8B%A8%EC%96%91%EB%93%9C%EB%A6%BC%EB%A0%88%EC%A0%80%20%ED%8C%A8%EB%9F%AC%EA%B8%80%EB%9D%BC%EC%9D%B4%EB%94%A9/place/1326633232?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
11,11,단양패러에반하다,"https://map.naver.com/p/search/%EB%8B%A8%EC%96%91%ED%8C%A8%EB%9F%AC%EC%97%90%EB%B0%98%ED%95%98%EB%8B%A4/place/164650478?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
12,12,대천 국가대표 패러글라이딩,"https://map.naver.com/p/search/%EB%8C%80%EC%B2%9C%20%EA%B5%AD%EA%B0%80%EB%8C%80%ED%91%9C%20%ED%8C%A8%EB%9F%AC%EA%B8%80%EB%9D%BC%EC%9D%B4%EB%94%A9/place/32721181?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
17,17,선유 스카이썬라인,"https://map.naver.com/p/search/%EC%84%A0%EC%9C%A0%20%EC%8A%A4%EC%B9%B4%EC%9D%B4%EC%8D%AC%EB%9D%BC%EC%9D%B8/place/1544445853?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
