,Unnamed: 0_x,name,혼자,액티비티,자연,힐링,Unnamed: 0_y,addr1,cat1,cat2,cat3,힐링_int,혼자_int,자연_int,액티비티_int,province,city
0,0,2018 평창동계올림픽대회 및 동계패럴림픽대회 기념관,0.5945244133472443,0.7130826354026795,0.682092821598053,0.6065935969352723,0,강원특별자치도 평창군 대관령면 올림픽로 220,A02,A0206,A02060200,0,0,0,0,강원특별자치도,평창군
1,1,518기념문화센터,0.6123591065406799,0.6384522318840027,0.7370211482048035,0.8674169182777405,1,광주광역시 서구 내방로 152 (쌍촌동),A02,A0206,A02060300,0,0,0,0,광주광역시,서구
2,2,BNK부산은행조은극장,0.476263079047203,0.5728472828865051,0.5709079831838608,0.5874520540237427,2,부산광역시 중구 구덕로34번길 4 (남포동2가),A02,A0206,A02060600,0,0,0,0,부산광역시,중구
3,3,CECO 창원컨벤션센터,0.4653737246990204,0.5763841062784195,0.5510268270969391,0.5525479346513749,3,경상남도 창원시 의창구 원이대로 362,A02,A0206,A02060400,0,0,0,0,경상남도,창원시
4,4,CGV 센텀시티,0.5191580921411514,0.6801217913627624,0.6133218467235565,0.5905966639518738,4,부산광역시 해운대구 우동 1495 신세계백화점센텀시티점,A02,A0206,A02061200,0,0,0,1,부산광역시,해운대구
5,5,CICA 미술관,0.4937567323446273,0.6132768094539642,0.6092869460582733,0.5925903558731079,5,경기도 김포시 양촌읍 삼도로 196-30,A02,A0206,A02060500,1,0,0,1,경기도,김포시
6,6,CJ아지트광흥창,0.0,0.0,0.0,0.0,6,서울특별시 마포구 창전로 14 (신정동),A02,A0206,A02060600,0,0,0,0,서울특별시,마포구
7,7,CXC아트뮤지엄,0.5690247774124145,0.7124126553535461,0.6785294115543365,0.6293953835964203,7,서울특별시 광진구 자양동,A02,A0206,A02060300,0,0,0,0,서울특별시,광진구
8,8,GS칼텍스 예울마루,0.4408439606428146,0.5177085191011429,0.5070955127477645,0.4932664275169373,8,전라남도 여수시 예울마루로 100,A02,A0206,A02060300,0,0,0,1,전라남도,여수시
9,9,HAPPY700 평창시네마,0.564065682888031,0.6792275607585907,0.7078317642211914,0.7160894930362701,9,강원특별자치도 평창군 용평면 경강로 1689,A02,A0206,A02061200,0,0,1,1,강원특별자치도,평창군
10,10,KT&G상상마당 대치아트홀,0.5800421088933945,0.6843841969966888,0.684564620256424,0.6988465338945389,10,서울특별시 강남구 영동대로 416 (대치동),A02,A0206,A02060600,0,0,0,0,서울특별시,강남구
11,11,MEG아트홀,0.5750615000724792,0.6933320939540863,0.6615294933319091,0.6302559971809387,11,경기도 오산시 내삼미로 93,A02,A0206,A02060600,0,0,0,1,경기도,오산시
12,12,SJ쿤스트할레,0.4610603630542755,0.5455370455980301,0.5454141020774841,0.5565802663564682,12,서울특별시 강남구 언주로148길 5,A02,A0206,A02060300,0,0,0,0,서울특별시,강남구
13,13,SeMA 벙커,0.3310253620147705,0.3996716241041819,0.4036309123039245,0.4989178876082102,13,서울특별시 영등포구 여의도동,A02,A0206,A02060500,0,0,0,0,서울특별시,영등포구
14,14,가원미술관,0.4860349982976913,0.5754262566566467,0.5907028496265412,0.6417358756065369,14,경기도 과천시 새빛로 24,A02,A0206,A02060500,0,0,0,0,경기도,과천시
15,15,가일미술관,0.41973720325364,0.5151987804306878,0.5163379708925883,0.5630248884359995,15,경기도 가평군 청평면 북한강로 1549,A02,A0206,A02060500,0,0,1,1,경기도,가평군
16,16,가회민화박물관,0.5787185341119766,0.6831380188465118,0.6764196634292603,0.6492822229862213,16,서울특별시 종로구 북촌로 52,A02,A0206,A02060100,0,0,0,0,서울특별시,종로구
17,17,강릉시립미술관,0.4250231921672821,0.479030567407608,0.5068699896335602,0.5680625677108765,17,강원특별자치도 강릉시 화부산로40번길 46,A02,A0206,A02060500,0,0,0,0,강원특별자치도,강릉시
18,18,강릉자동차극장,0.5565922170877456,0.6646662712097168,0.6906373381614686,0.7130049079656601,18,강원특별자치도 강릉시 구정면 칠성로 13-8,A02,A0206,A02061200,0,0,0,1,강원특별자치도,강릉시
19,19,강변저류지 홍보관,0.6048884987831116,0.7358840703964233,0.7607088685035706,0.8573505282402039,19,강원특별자치도 영월군 영월읍 청령포로 133,A02,A0206,A02060300,0,0,0,0,강원특별자치도,영월군
20,20,강원종합박물관,0.6072531521320343,0.7208158910274506,0.6992849290370942,0.6235428154468536,20,강원특별자치도 삼척시 신기면 강원남부로 3016,A02,A0206,A02060100,0,0,0,0,강원특별자치도,삼척시
21,21,객주문학관,0.5150858759880066,0.6174837350845337,0.6195467710494995,0.5930002927780151,21,경상북도 청송군 진보면 청송로 6359,A02,A0206,A02060300,0,0,0,0,경상북도,청송군
22,22,갤러리 구루지,0.2816136479377746,0.3599587678909302,0.3330674916505813,0.4189202710986137,22,서울특별시 구로구 가마산로25길 21,A02,A0206,A02060500,0,0,0,0,서울특별시,구로구
23,23,갤러리 더 화,0.597581128279368,0.6819520592689514,0.6798063119252523,0.6186388731002808,23,경기도 이천시 신둔면 도자예술로99번길 41,A02,A0206,A02060500,0,0,0,0,경기도,이천시
24,24,갤러리 마노,0.6123591065406799,0.6384522318840027,0.7370211482048035,0.8674169182777405,24,서울특별시 강남구 압구정로46길 71,A02,A0206,A02060500,0,0,0,0,서울특별시,강남구
25,25,갤러리도스,0.5011729627847672,0.6105375409126281,0.6063923537731171,0.6073297291994095,25,서울특별시 종로구 삼청로7길 37 (팔판동),A02,A0206,A02060500,0,0,0,0,서울특별시,종로구
26,26,거가대교 홍보전시관,0.4385709673166275,0.519151896238327,0.5518242716789246,0.5861276507377624,26,부산광역시 강서구 거가대로 2571,A02,A0206,A02060300,0,0,0,0,부산광역시,강서구
27,27,거창월성우주창의과학관,0.5251629739999771,0.641065365076065,0.6319189369678497,0.5869678914546966,27,경상남도 거창군 덕유월성로 1312-96 거창군월성청소년수련원,A02,A0206,A02060300,0,0,0,0,경상남도,거창군
28,28,건강과 성 박물관(제주),0.5706743478775025,0.7101635217666626,0.6670226395130158,0.6167941987514496,28,제주특별자치도 서귀포시 안덕면 일주서로 1611,A02,A0206,A02060100,0,0,1,0,제주특별자치도,서귀포시
29,29,경기대학교소성박물관,0.4879006445407867,0.5674965381622314,0.568276713291804,0.5991214066743851,29,경기도 수원시 영통구 광교산로 154-42,A02,A0206,A02060100,0,0,0,0,경기도,수원시
30,30,경산시립박물관,0.368521124124527,0.4435664543083736,0.4368133800370352,0.4927168488502502,30,경상북도 경산시 박물관로 46,A02,A0206,A02060100,0,0,0,0,경상북도,경산시
31,31,경인미술관,0.3473756313323974,0.4531540632247924,0.4299982905387878,0.5016304016113281,31,서울특별시 종로구 인사동10길 11-4,A02,A0206,A02060500,0,0,0,0,서울특별시,종로구
32,32,경주문화관 1918,0.5265169640382131,0.5907299915949503,0.5967557628949484,0.571077307065328,32,경상북도 경주시 원화로 266 경주역,A02,A0206,A02060300,0,0,0,0,경상북도,경주시
33,33,경주솔거미술관(솔거미술관),0.4921950101852417,0.5697057247161865,0.5976044237613678,0.6457072049379349,33,경상북도 경주시 경감로 614,A02,A0206,A02060500,0,0,0,1,경상북도,경주시
34,34,고남패총박물관,0.48155457675457,0.592979907989502,0.6024940252304077,0.6082457154989243,34,충청남도 태안군 고남면 안면대로 4270-6,A02,A0206,A02060100,0,0,0,0,충청남도,태안군
35,35,고성 DMZ박물관,0.5485029280185699,0.6983810544013977,0.6752997696399688,0.6116177439689636,35,강원특별자치도 고성군 현내면 통일전망대로 369,A02,A0206,A02060100,0,0,0,0,강원특별자치도,고성군
36,36,고암이응노생가기념관,0.4878351151943206,0.5406385660171509,0.5689008057117462,0.5599257111549377,36,충청남도 홍성군 홍북면 이응노로 61-7,A02,A0206,A02060200,1,0,0,0,충청남도,홍성군
37,37,고양 선인장전시관,0.5498997271060944,0.6088956072926521,0.6508086621761322,0.675159890204668,37,경기도 고양시 일산동구 호수로 731,A02,A0206,A02060300,0,0,0,0,경기도,고양시
38,38,고양시립 주엽어린이도서관,0.671048492193222,0.7401973903179169,0.780229389667511,0.6432211399078369,38,경기도 고양시 일산서구 주엽로 104,A02,A0206,A02060900,0,0,0,0,경기도,고양시
39,39,고양아람누리 아람미술관,0.4678713411092758,0.5286615431308747,0.5430942624807358,0.6034909427165985,39,경기도 고양시 일산동구 중앙로 1286 고양아람누리,A02,A0206,A02060500,0,0,0,0,경기도,고양시
40,40,고창고인돌박물관,0.5716426849365235,0.709598982334137,0.6836567223072052,0.6109284162521362,40,전북특별자치도 고창군 고창읍 고인돌공원길 74,A02,A0206,A02060100,1,0,0,0,전북특별자치도,고창군
41,41,고창문화의전당,0.605949471394221,0.657638430595398,0.7134376565615336,0.7892364859580994,41,전북특별자치도 고창군 고창읍 모양성로 11,A02,A0206,A02060600,0,0,0,0,전북특별자치도,고창군
42,42,고판화박물관,0.5672270506620407,0.6888108968734741,0.6713664829730988,0.6090276867151261,42,강원특별자치도 원주시 신림면 물안길 62,A02,A0206,A02060100,1,0,0,0,강원특별자치도,원주시
43,43,고흐의정원,0.5708237290382385,0.6888529837131501,0.6585149586200714,0.5862872362136841,43,제주특별자치도 서귀포시 삼달신풍로 126-5,A02,A0206,A02060300,0,0,0,1,제주특별자치도,서귀포시
