,name,addr1,cat1,cat2,cat3,힐링_int,혼자_int,자연_int,액티비티_int,province,city
0,2018 평창동계올림픽대회 및 동계패럴림픽대회 기념관,강원특별자치도 평창군 대관령면 올림픽로 220,A02,A0206,A02060200,0,0,0,0,강원특별자치도,평창군
1,518기념문화센터,광주광역시 서구 내방로 152 (쌍촌동),A02,A0206,A02060300,0,0,0,0,광주광역시,서구
2,BNK부산은행조은극장,부산광역시 중구 구덕로34번길 4 (남포동2가),A02,A0206,A02060600,0,0,0,0,부산광역시,중구
3,CECO 창원컨벤션센터,경상남도 창원시 의창구 원이대로 362,A02,A0206,A02060400,0,0,0,0,경상남도,창원시
4,CGV 센텀시티,부산광역시 해운대구 우동 1495 신세계백화점센텀시티점,A02,A0206,A02061200,0,0,0,1,부산광역시,해운대구
5,CICA 미술관,경기도 김포시 양촌읍 삼도로 196-30,A02,A0206,A02060500,1,0,0,1,경기도,김포시
6,CJ아지트광흥창,서울특별시 마포구 창전로 14 (신정동),A02,A0206,A02060600,0,0,0,0,서울특별시,마포구
7,CXC아트뮤지엄,서울특별시 광진구 자양동,A02,A0206,A02060300,0,0,0,0,서울특별시,광진구
8,GS칼텍스 예울마루,전라남도 여수시 예울마루로 100,A02,A0206,A02060300,0,0,0,1,전라남도,여수시
9,HAPPY700 평창시네마,강원특별자치도 평창군 용평면 경강로 1689,A02,A0206,A02061200,0,0,1,1,강원특별자치도,평창군
10,KT&G상상마당 대치아트홀,서울특별시 강남구 영동대로 416 (대치동),A02,A0206,A02060600,0,0,0,0,서울특별시,강남구
11,MEG아트홀,경기도 오산시 내삼미로 93,A02,A0206,A02060600,0,0,0,1,경기도,오산시
12,SJ쿤스트할레,서울특별시 강남구 언주로148길 5,A02,A0206,A02060300,0,0,0,0,서울특별시,강남구
13,SeMA 벙커,서울특별시 영등포구 여의도동,A02,A0206,A02060500,0,0,0,0,서울특별시,영등포구
14,가원미술관,경기도 과천시 새빛로 24,A02,A0206,A02060500,0,0,0,0,경기도,과천시
15,가일미술관,경기도 가평군 청평면 북한강로 1549,A02,A0206,A02060500,0,0,1,1,경기도,가평군
16,가회민화박물관,서울특별시 종로구 북촌로 52,A02,A0206,A02060100,0,0,0,0,서울특별시,종로구
17,강릉시립미술관,강원특별자치도 강릉시 화부산로40번길 46,A02,A0206,A02060500,0,0,0,0,강원특별자치도,강릉시
18,강릉자동차극장,강원특별자치도 강릉시 구정면 칠성로 13-8,A02,A0206,A02061200,0,0,0,1,강원특별자치도,강릉시
19,강변저류지 홍보관,강원특별자치도 영월군 영월읍 청령포로 133,A02,A0206,A02060300,0,0,0,0,강원특별자치도,영월군
20,강원종합박물관,강원특별자치도 삼척시 신기면 강원남부로 3016,A02,A0206,A02060100,0,0,0,0,강원특별자치도,삼척시
21,객주문학관,경상북도 청송군 진보면 청송로 6359,A02,A0206,A02060300,0,0,0,0,경상북도,청송군
22,갤러리 구루지,서울특별시 구로구 가마산로25길 21,A02,A0206,A02060500,0,0,0,0,서울특별시,구로구
23,갤러리 더 화,경기도 이천시 신둔면 도자예술로99번길 41,A02,A0206,A02060500,0,0,0,0,경기도,이천시
24,갤러리 마노,서울특별시 강남구 압구정로46길 71,A02,A0206,A02060500,0,0,0,0,서울특별시,강남구
25,갤러리도스,서울특별시 종로구 삼청로7길 37 (팔판동),A02,A0206,A02060500,0,0,0,0,서울특별시,종로구
26,거가대교 홍보전시관,부산광역시 강서구 거가대로 2571,A02,A0206,A02060300,0,0,0,0,부산광역시,강서구
27,거창월성우주창의과학관,경상남도 거창군 덕유월성로 1312-96 거창군월성청소년수련원,A02,A0206,A02060300,0,0,0,0,경상남도,거창군
28,건강과 성 박물관(제주),제주특별자치도 서귀포시 안덕면 일주서로 1611,A02,A0206,A02060100,0,0,1,0,제주특별자치도,서귀포시
29,경기대학교소성박물관,경기도 수원시 영통구 광교산로 154-42,A02,A0206,A02060100,0,0,0,0,경기도,수원시
30,경산시립박물관,경상북도 경산시 박물관로 46,A02,A0206,A02060100,0,0,0,0,경상북도,경산시
31,경인미술관,서울특별시 종로구 인사동10길 11-4,A02,A0206,A02060500,0,0,0,0,서울특별시,종로구
32,경주문화관 1918,경상북도 경주시 원화로 266 경주역,A02,A0206,A02060300,0,0,0,0,경상북도,경주시
33,경주솔거미술관(솔거미술관),경상북도 경주시 경감로 614,A02,A0206,A02060500,0,0,0,1,경상북도,경주시
34,고남패총박물관,충청남도 태안군 고남면 안면대로 4270-6,A02,A0206,A02060100,0,0,0,0,충청남도,태안군
35,고성 DMZ박물관,강원특별자치도 고성군 현내면 통일전망대로 369,A02,A0206,A02060100,0,0,0,0,강원특별자치도,고성군
36,고암이응노생가기념관,충청남도 홍성군 홍북면 이응노로 61-7,A02,A0206,A02060200,1,0,0,0,충청남도,홍성군
37,고양 선인장전시관,경기도 고양시 일산동구 호수로 731,A02,A0206,A02060300,0,0,0,0,경기도,고양시
38,고양시립 주엽어린이도서관,경기도 고양시 일산서구 주엽로 104,A02,A0206,A02060900,0,0,0,0,경기도,고양시
39,고양아람누리 아람미술관,경기도 고양시 일산동구 중앙로 1286 고양아람누리,A02,A0206,A02060500,0,0,0,0,경기도,고양시
40,고창고인돌박물관,전북특별자치도 고창군 고창읍 고인돌공원길 74,A02,A0206,A02060100,1,0,0,0,전북특별자치도,고창군
41,고창문화의전당,전북특별자치도 고창군 고창읍 모양성로 11,A02,A0206,A02060600,0,0,0,0,전북특별자치도,고창군
42,고판화박물관,강원특별자치도 원주시 신림면 물안길 62,A02,A0206,A02060100,1,0,0,0,강원특별자치도,원주시
43,고흐의정원,제주특별자치도 서귀포시 삼달신풍로 126-5,A02,A0206,A02060300,0,0,0,1,제주특별자치도,서귀포시
44,곡성레저문화센터,전라남도 곡성군 곡성읍 곡성로 855,A02,A0206,A02060600,0,0,0,0,전라남도,곡성군
45,공전자연학교,충청북도 제천시 봉양읍 의암로 345,A02,A0206,A02061400,1,0,0,0,충청북도,제천시
46,공주민속극박물관,충청남도 공주시 의당면 돌모루1길 40,A02,A0206,A02060100,0,0,0,0,충청남도,공주시
47,광림 아트센터 BBCH홀,서울특별시 강남구 논현로163길 33 (신사동),A02,A0206,A02060600,0,0,0,1,서울특별시,강남구
48,광림아트센터 장천홀,서울특별시 강남구 압구정로22길 21 (신사동),A02,A0206,A02060600,0,0,0,0,서울특별시,강남구
49,광명에디슨뮤지엄,경기도 광명시 일직로12번길 24,A02,A0206,A02060100,0,0,0,0,경기도,광명시
50,광안리관광안내소,부산광역시 수영구 광안동,A02,A0206,A02060300,1,0,1,1,부산광역시,수영구
51,광야아트센터,서울특별시 강남구 선릉로 806 (청담동),A02,A0206,A02060600,0,0,0,0,서울특별시,강남구
52,광주광역시립산수도서관,광주광역시 동구 경양로 355,A02,A0206,A02060900,0,0,0,0,광주광역시,동구
53,광주시문화재단 남한산성아트홀,경기도 광주시 회안대로 891,A02,A0206,A02060600,0,0,1,0,경기도,광주시
54,괴산한지체험박물관,충청북도 괴산군 연풍면 원풍로 233,A02,A0206,A02060100,0,0,1,0,충청북도,괴산군
55,구름아래소극장,서울특별시 마포구 와우산로29가길 15 (서교동),A02,A0206,A02060600,0,0,1,0,서울특별시,마포구
56,구립구산동도서관마을,서울특별시 은평구 연서로13길 29-23 (구산동),A02,A0206,A02060900,0,0,0,0,서울특별시,은평구
57,구미성리학역사관,경상북도 구미시 금오산로 336-13,A02,A0206,A02060100,0,0,0,0,경상북도,구미시
58,구삼뮤지엄,경기도 파주시 탄현면 헤이리마을길 59-58,A02,A0206,A02060500,0,0,0,1,경기도,파주시
59,구하우스미술관,경기도 양평군 서종면 무내미길 49-12,A02,A0206,A02060500,1,0,0,0,경기도,양평군
60,국립6.25전쟁납북자기념관,경기도 파주시 임진각로 153 국립6.25전쟁납북자기념관,A02,A0206,A02060200,0,0,0,0,경기도,파주시
61,국립경주박물관 신라천년서고,경상북도 경주시 인왕동,A02,A0206,A02060900,0,0,0,0,경상북도,경주시
62,국립극단 백성희장민호극장,서울특별시 용산구 청파로 373 (서계동),A02,A0206,A02060600,0,0,0,0,서울특별시,용산구
63,국립대구기상과학관,대구광역시 동구 효동로2길 10,A02,A0206,A02060300,0,0,1,0,대구광역시,동구
64,국립대한민국임시정부기념관,서울특별시 서대문구 통일로 279-24,A02,A0206,A02060200,0,0,0,0,서울특별시,서대문구
65,국립밀양기상과학관,경상남도 밀양시 밀양대공원로 84,A02,A0206,A02060300,0,0,0,0,경상남도,밀양시
66,국립세계문자박물관,인천광역시 연수구 센트럴로 217 (송도동),A02,A0206,A02060100,0,0,0,0,인천광역시,연수구
67,국립일제강제동원역사관,부산광역시 남구 홍곡로320번길 100,A02,A0206,A02060300,0,0,0,0,부산광역시,남구
68,국립전북기상과학관,전북특별자치도 정읍시 서부산업도로 168-43,A02,A0206,A02060300,0,0,1,0,전북특별자치도,정읍시
69,국립조선왕조실록박물관,강원특별자치도 평창군 진부면 오대산로 176,A02,A0206,A02060100,0,0,0,0,강원특별자치도,평창군
70,국립중앙박물관 어린이박물관,서울특별시 용산구 서빙고로 137,A02,A0206,A02060100,0,0,0,0,서울특별시,용산구
71,국립충주기상과학관,충청북도 충주시 번영대로 270-10,A02,A0206,A02060300,0,0,0,0,충청북도,충주시
72,국자와 주걱,인천광역시 강화군 양도면 강화남로428번길 46-27,A02,A0206,A02061000,1,0,1,1,인천광역시,강화군
73,국제현대미술관,강원특별자치도 영월군 영월읍 삼옥길 31,A02,A0206,A02060500,0,0,0,0,강원특별자치도,영월군
74,군립 청송야송미술관,경상북도 청송군 진보면 경동로 5162,A02,A0206,A02060500,1,0,0,0,경상북도,청송군
75,군산 3.1운동 100주년 기념관,전북특별자치도 군산시 영명길 29,A02,A0206,A02060200,0,0,0,1,전북특별자치도,군산시
76,그라운드시소 명동,서울특별시 중구 남대문로 73 (남대문로2가),A02,A0206,A02060300,0,0,0,0,서울특별시,중구
77,그리스신화박물관,제주특별자치도 제주시 한림읍 광산로 942,A02,A0206,A02060100,0,0,1,1,제주특별자치도,제주시
78,근대문화체험관 계산예가,대구광역시 중구 서성로 6-1,A02,A0206,A02060300,0,0,0,1,대구광역시,중구
79,글로빌아트홀,부산광역시 동래구 사직북로48번길 162 (온천동),A02,A0206,A02060600,0,0,0,0,부산광역시,동래구
80,금보성아트센터,서울특별시 종로구 평창36길 20 (평창동),A02,A0206,A02060500,0,0,1,0,서울특별시,종로구
81,금천구립독산도서관,서울특별시 금천구 독산로54길 114,A02,A0206,A02060900,0,0,1,0,서울특별시,금천구
82,금호아트홀 연세,서울특별시 서대문구 연세로 50 (신촌동),A02,A0206,A02060600,0,0,0,0,서울특별시,서대문구
83,기분좋은극장,광주광역시 서구 상무중앙로 90 (치평동),A02,A0206,A02060600,1,0,1,0,광주광역시,서구
84,기차왕국박물관카페,인천광역시 남동구 장자로6번길 112-7,A02,A0206,A02060100,0,0,0,0,인천광역시,남동구
85,김대중 노벨평화상기념관,전라남도 목포시 삼학로92번길 68,A02,A0206,A02060200,0,0,1,1,전라남도,목포시
86,김리아 갤러리,서울특별시 강남구 압구정로75길 5 리아빌딩,A02,A0206,A02060500,1,0,0,1,서울특별시,강남구
87,김수현드라마아트홀,충청북도 청주시 상당구 우암산로41번길 21 (수동),A02,A0206,A02060300,0,0,0,0,충청북도,청주시
88,김영갑 갤러리(두모악),제주특별자치도 서귀포시 성산읍 삼달로 137,A02,A0206,A02060500,0,0,1,1,제주특별자치도,서귀포시
89,김영삼대통령 기록전시관,경상남도 거제시 장목면 옥포대첩로 743,A02,A0206,A02060300,0,0,0,0,경상남도,거제시
90,김천 세계도자기박물관,경상북도 김천시 대항면 직지사길 118,A02,A0206,A02060100,0,0,0,0,경상북도,김천시
91,김택화 미술관,제주특별자치도 제주시 조천읍 신흥로 1,A02,A0206,A02060500,1,0,1,1,제주특별자치도,제주시
92,김포국제조각공원,경기도 김포시 월곶면 용강로13번길 38,A02,A0206,A02060300,1,0,1,0,경기도,김포시
93,김해 분청도자박물관,경상남도 김해시 진례면 진례로 275-35,A02,A0206,A02060100,0,0,0,0,경상남도,김해시
94,김홍도미술관,경기도 안산시 상록구 충장로 422,A02,A0206,A02060500,0,0,0,0,경기도,안산시
95,깨어있는시민 문화체험전시관,경상남도 김해시 봉하로 132,A02,A0206,A02060300,0,0,0,0,경상남도,김해시
96,나이롱책방,제주특별자치도 제주시 관덕로8길 17,A02,A0206,A02061000,0,0,0,0,제주특별자치도,제주시
97,나주배박물관,전라남도 나주시 금천면 영산로 5838,A02,A0206,A02060100,0,0,0,0,전라남도,나주시
98,난고 김삿갓 문학관,강원특별자치도 영월군 김삿갓면 김삿갓로 216-22,A02,A0206,A02060200,0,0,0,0,강원특별자치도,영월군
99,남가람박물관,경상남도 진주시 내동면 칠봉산길 190,A02,A0206,A02060100,0,0,0,0,경상남도,진주시
100,남농기념관,전라남도 목포시 남농로 119,A02,A0206,A02060200,1,1,0,1,전라남도,목포시
101,남도소리울림터,전라남도 무안군 삼향읍 남악로 222,A02,A0206,A02060600,0,0,0,0,전라남도,무안군
102,남동소래아트홀,인천광역시 남동구 아암대로1437번길 32,A02,A0206,A02060600,0,0,0,0,인천광역시,남동구
103,남망산 조각공원,경상남도 통영시 남망공원길 29,A02,A0206,A02060300,1,0,1,0,경상남도,통영시
104,남산도서관(춘천),강원특별자치도 춘천시 남산면 강촌로 311,A02,A0206,A02060900,0,0,1,0,강원특별자치도,춘천시
105,남송미술관,경기도 가평군 북면 백둔로 322,A02,A0206,A02060500,0,0,1,1,경기도,가평군
106,남양주시립박물관,경기도 남양주시 와부읍 팔당로 121,A02,A0206,A02060100,0,0,0,1,경기도,남양주시
107,남원 백두대간전시관,전북특별자치도 남원시 운봉읍 주촌리,A02,A0206,A02060300,0,0,1,0,전북특별자치도,남원시
108,남원향토박물관,전북특별자치도 남원시 양림길 14-9,A02,A0206,A02060100,0,0,1,1,전북특별자치도,남원시
109,남이섬 노래박물관,강원특별자치도 춘천시 남산면 남이섬길 1,A02,A0206,A02060100,0,0,0,0,강원특별자치도,춘천시
110,넥스페리움,대전광역시 유성구 엑스포로 1 (도룡동),A02,A0206,A02060300,0,0,0,0,대전광역시,유성구
111,노들섬 라이브하우스,서울특별시 용산구 이촌동,A02,A0206,A02060600,0,0,0,0,서울특별시,용산구
112,노랑다리미술관,경기도 가평군 청평면 고성리,A02,A0206,A02060500,1,0,0,1,경기도,가평군
113,노원우주학교,서울특별시 노원구 동일로205길 13,A02,A0206,A02060300,0,0,1,0,서울특별시,노원구
114,녹청자박물관,인천광역시 서구 도요지로 54,A02,A0206,A02060300,0,0,1,0,인천광역시,서구
115,느리게 책방,충청남도 공주시 우체국길 24,A02,A0206,A02061000,1,0,0,0,충청남도,공주시
116,능강솟대문화공간,충청북도 제천시 수산면 옥순봉로 1100,A02,A0206,A02060300,0,0,0,0,충청북도,제천시
117,다가 여행자 도서관,전북특별자치도 전주시 완산구 전라감영2길 28 (다가동1가),A02,A0206,A02060900,0,0,0,1,전북특별자치도,전주시
118,다보성 갤러리,서울특별시 종로구 삼일대로 457,A02,A0206,A02060500,0,0,0,0,서울특별시,종로구
119,다울랭 갤러리,서울특별시 용산구 한강대로15길 32 (한강로3가),A02,A0206,A02060300,0,0,0,0,서울특별시,용산구
120,달성 한일우호관,대구광역시 달성군 가창면 우록길 206,A02,A0206,A02060300,0,0,0,0,대구광역시,달성군
121,달성습지생태학습관,대구광역시 달성군 화원읍 구라1길 88,A02,A0206,A02060300,1,0,0,0,대구광역시,달성군
122,담양곤충박물관,전라남도 담양군 담양읍 담양88로 428,A02,A0206,A02060100,0,0,0,0,전라남도,담양군
123,담양우표박물관,전라남도 담양군 대전면 대치9길 16,A02,A0206,A02060100,0,0,0,0,전라남도,담양군
124,당림미술관,충청남도 아산시 송악면 외암로1182번길 34-19,A02,A0206,A02060500,1,0,0,1,충청남도,아산시
125,당진 월드 아트 서커스,충청남도 당진시 신평면 운정리,A02,A0206,A02060600,0,0,0,0,충청남도,당진시
126,닻미술관,경기도 광주시 초월읍 진새골길 184,A02,A0206,A02060500,0,0,0,0,경기도,광주시
127,대구광역시립남부도서관,대구광역시 남구 앞산순환로 512,A02,A0206,A02060900,0,0,0,0,대구광역시,남구
128,대구교육대학교 교육박물관,대구광역시 남구 중앙대로 219,A02,A0206,A02060100,0,0,0,0,대구광역시,남구
129,대구예술발전소,대구광역시 중구 달성로22길 31-12,A02,A0206,A02060600,0,0,0,0,대구광역시,중구
130,대나무 건강나라,전라남도 담양군 금성면 원율길 12,A02,A0206,A02060300,0,0,0,0,전라남도,담양군
131,대백프라자갤러리,대구광역시 중구 명덕로 333,A02,A0206,A02060500,0,0,0,0,대구광역시,중구
132,대불호텔전시관,인천광역시 중구 신포로23번길 101,A02,A0206,A02060300,0,0,0,0,인천광역시,중구
133,대산미술관,경상남도 창원시 의창구 대산면 유등로369번길 14-8,A02,A0206,A02060500,0,0,0,0,경상남도,창원시
134,대오서점,서울특별시 종로구 누하동 33,A02,A0206,A02061000,0,0,0,1,서울특별시,종로구
135,대원사 티벳박물관,전라남도 보성군 죽산길 520-1,A02,A0206,A02060100,0,0,0,1,전라남도,보성군
136,대전대학교박물관,대전광역시 동구 대학로 62 대전대학교,A02,A0206,A02060100,0,0,0,0,대전광역시,동구
137,대통령기록전시관,세종특별자치시 다솜로 250,A02,A0206,A02060300,0,0,0,0,세종특별자치시,다솜로
138,대학로자유극장,서울특별시 종로구 대학로12길 31 (동숭동),A02,A0206,A02060600,0,0,0,0,서울특별시,종로구
139,대학로티오엠,서울특별시 종로구 대학로8가길 85 (동숭동),A02,A0206,A02060600,0,0,0,0,서울특별시,종로구
140,더서울라이티움,서울특별시 성동구 서울숲2길 32-14,A02,A0206,A02060300,0,0,0,0,서울특별시,성동구
141,더페이지갤러리,서울특별시 성동구 서울숲2길 32-14,A02,A0206,A02060500,0,0,0,0,서울특별시,성동구
142,더폴락,대구광역시 중구 경상감영1길 62-5,A02,A0206,A02061000,0,0,0,0,대구광역시,중구
143,덕소자연사박물관,경기도 남양주시 와부읍 석실로 46-11,A02,A0206,A02060100,0,0,0,0,경기도,남양주시
144,덕포진교육박물관,경기도 김포시 대곶면 덕포진로103번길 90,A02,A0206,A02060100,1,0,0,0,경기도,김포시
145,도산안창호기념관,서울특별시 강남구 도산대로45길 20,A02,A0206,A02060200,0,0,0,0,서울특별시,강남구
146,도시파빌리온,부산광역시 수영구 광안동,A02,A0206,A02060500,0,0,0,0,부산광역시,수영구
147,동광극장,경기도 동두천시 생연동,A02,A0206,A02061200,1,0,0,0,경기도,동두천시
148,동구인문학당,광주광역시 동구 동계천로 168-5,A02,A0206,A02061100,0,0,0,0,광주광역시,동구
149,동국대학교 WISE캠퍼스박물관,경상북도 경주시 동대로 123,A02,A0206,A02060100,0,0,0,0,경상북도,경주시
150,동그란책,강원특별자치도 속초시 중앙로46번길 45 (교동),A02,A0206,A02061000,0,0,0,0,강원특별자치도,속초시
151,동네책방 스몰굿씽,강원특별자치도 원주시 판부면 매봉길 52-1,A02,A0206,A02061000,0,0,0,0,강원특별자치도,원주시
152,동두천꿈나무정보도서관,경기도 동두천시 지행로 38,A02,A0206,A02060900,0,0,0,0,경기도,동두천시
153,동림매듭공방,서울특별시 종로구 북촌로12길 10,A02,A0206,A02060100,0,0,0,0,서울특별시,종로구
154,동문헌책도서관,전북특별자치도 전주시 완산구 동문길 51 (풍남동1가),A02,A0206,A02060900,0,0,0,0,전북특별자치도,전주시
155,동아대학교 석당박물관(부산),부산광역시 서구 구덕로 225,A02,A0206,A02060100,0,0,0,0,부산광역시,서구
156,동아방송예술대학교 DIMA아트센터,경기도 안성시 삼죽면 동아예대길 47,A02,A0206,A02060500,0,0,0,0,경기도,안성시
157,동양자수박물관,강원특별자치도 강릉시 죽헌길 140-12,A02,A0206,A02060100,0,0,0,0,강원특별자치도,강릉시
158,동자아트홀,"서울특별시 용산구 한강대로 372 (동자동, 센트레빌아스테리움서울)",A02,A0206,A02060600,0,0,0,0,서울특별시,용산구
159,동제미술관(동제미술전시관),대구광역시 달성군 가창면 헐티로10길 18,A02,A0206,A02060300,1,0,0,0,대구광역시,달성군
160,동해안젓갈콤플렉스센터,강원특별자치도 속초시 농공단지1길 4,A02,A0206,A02060100,0,0,0,0,강원특별자치도,속초시
161,두루뫼박물관,경기도 파주시 법원읍 초리골길 278,A02,A0206,A02060100,0,0,0,0,경기도,파주시
162,둘리뮤지엄,서울특별시 도봉구 시루봉로1길 6,A02,A0206,A02060100,0,0,0,0,서울특별시,도봉구
163,딜라이트 담양,전라남도 담양군 화방송정길 21-14,A02,A0206,A02060300,0,0,1,1,전라남도,담양군
164,떡박물관,서울특별시 종로구 돈화문로 71,A02,A0206,A02060100,0,0,0,0,서울특별시,종로구
165,또봇정크아트뮤지엄(경주또봇정크아트뮤지엄),경상북도 경주시 경감로 614,A02,A0206,A02060100,0,0,0,1,경상북도,경주시
166,라디오스타박물관,강원특별자치도 영월군 영월읍 금강공원길 84-3,A02,A0206,A02060100,1,0,0,1,강원특별자치도,영월군
167,라이카시네마,서울특별시 서대문구 연희로8길 18 (연희동),A02,A0206,A02061200,0,0,0,1,서울특별시,서대문구
168,레디움아트센터,부산광역시 해운대구 해운대해변로298번길 24 (중동),A02,A0206,A02060500,0,0,0,0,부산광역시,해운대구
169,루트머지,광주광역시 광산구 비아로34번길 47 루트머지주식회사,A02,A0206,A02060700,0,0,0,0,광주광역시,광산구
170,류방택천문기상과학관,충청남도 서산시 인지면 무학로 1353-4,A02,A0206,A02060300,0,0,1,0,충청남도,서산시
171,리각미술관,충청남도 천안시 동남구 태조산길 245,A02,A0206,A02060500,0,0,0,0,충청남도,천안시
172,마차박물관,충청북도 진천군 문백면 농다리로 34,A02,A0206,A02060100,0,0,0,0,충청북도,진천군
173,말박물관 (렛츠런파크),경기도 과천시 경마공원대로 107,A02,A0206,A02060100,0,0,0,0,경기도,과천시
174,망골조각공원(망골공원),충청북도 청주시 상당구 월평로 168,A02,A0206,A02060300,0,0,0,0,충청북도,청주시
175,매암차문화박물관,경상남도 하동군 악양서로 346-1 매암다원문화박물관,A02,A0206,A02060100,0,0,1,1,경상남도,하동군
176,명동난타극장,서울특별시 중구 명동길 26,A02,A0206,A02060600,0,0,0,0,서울특별시,중구
177,목면시배유지,경상남도 산청군 단성면 목화로 887,A02,A0206,A02060300,0,0,0,0,경상남도,산청군
178,목인박물관 목석원,서울특별시 종로구 창의문로5길 46-1,A02,A0206,A02060100,1,0,1,1,서울특별시,종로구
179,목재문화·자연사체험관,충청남도 청양군 대치면 칠갑산로 704-21,A02,A0206,A02060300,0,0,0,0,충청남도,청양군
180,목포근대역사관 1관,전라남도 목포시 영산로29번길 6,A02,A0206,A02060300,0,0,0,1,전라남도,목포시
181,목포근대역사관 2관,전라남도 목포시 번화로 18,A02,A0206,A02060300,0,0,0,1,전라남도,목포시
182,목포문학관,전라남도 목포시 남농로 95,A02,A0206,A02060200,0,0,0,1,전라남도,목포시
183,무비랜드 왁스뮤지엄,제주특별자치도 서귀포시 중문관광로 205 (중문동),A02,A0206,A02060100,0,0,0,1,제주특별자치도,서귀포시
184,무안군오승우미술관,전라남도 무안군 초의길 7 무안군오승우미술관,A02,A0206,A02060500,0,0,0,0,전라남도,무안군
185,무주 산골영화관,전북특별자치도 무주군 무주읍 한풍루로 326-17,A02,A0206,A02061200,0,0,0,1,전북특별자치도,무주군
186,무주예체문화관,전북특별자치도 무주군 무주읍 한풍루로 326-17,A02,A0206,A02060600,0,0,0,0,전북특별자치도,무주군
187,문우당서림,강원특별자치도 속초시 중앙로 45,A02,A0206,A02061000,0,0,0,1,강원특별자치도,속초시
188,뮤지엄오브일루전,부산광역시 해운대구 수영강변대로 120 (우동),A02,A0206,A02060300,0,0,1,1,부산광역시,해운대구
189,미메시스 아트 뮤지엄,경기도 파주시 문발로 253,A02,A0206,A02060500,0,0,0,0,경기도,파주시
190,미술관 자작나무숲,강원특별자치도 횡성군 우천면 한우로두곡5길 186,A02,A0206,A02060500,1,0,0,1,강원특별자치도,횡성군
