,name,addr1,cat1,cat2,cat3,힐링_int,혼자_int,자연_int,액티비티_int,province,city
0,40계단 문화관광테마거리,부산광역시 중구 40계단길 일대,A02,A0203,A02030600,0,0,0,0,부산광역시,중구
1,BM스튜디오,서울특별시 마포구 잔다리로 64 (서교동),A02,A0203,A02030400,0,0,0,1,서울특별시,마포구
2,High Street Italia (하이 스트리트 이탈리아),서울특별시 강남구 가로수길 69 엘큐브,A02,A0203,A02030400,0,0,0,0,서울특별시,강남구
3,MRNW,대구광역시 북구 호국로 300-22,A02,A0203,A02030400,0,0,0,0,대구광역시,북구
4,Self Studio 씨잌,서울특별시 강남구 논현로175길 101-4,A02,A0203,A02030400,0,0,0,1,서울특별시,강남구
5,ㅎㄷcafe (홍대카페),서울특별시 마포구 어울마당로 68 (서교동),A02,A0203,A02030400,0,0,0,1,서울특별시,마포구
6,㈜놀아본,전라남도 영광군 영광읍 중앙로 121-2,A02,A0203,A02030400,0,0,0,0,전라남도,영광군
7,가고파 꼬부랑길 벽화마을,경상남도 창원시 마산합포구 성호서7길 15-8,A02,A0203,A02030100,0,0,0,0,경상남도,창원시
8,가우도 모노레일,전라남도 강진군 가우도길 2-87,A02,A0203,A02030400,1,0,1,0,전라남도,강진군
9,갈중이(천연염색체험),제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이,A02,A0203,A02030200,0,0,0,0,제주특별자치도,서귀포시
10,갓바위 문화타운,전라남도 목포시 남농로 135,A02,A0203,A02030600,0,0,0,0,전라남도,목포시
11,강릉 복사꽃마을,강원특별자치도 강릉시 신리천로 527-3 복사꽃정보마을센타,A02,A0203,A02030100,0,0,0,0,강원특별자치도,강릉시
12,강릉안반데기관광농원,강원특별자치도 강릉시 안반데기1길 203,A02,A0203,A02030100,0,0,0,0,강원특별자치도,강릉시
13,강주 해바라기 마을,경상남도 함안군 법수면 강주4길 37,A02,A0203,A02030100,0,0,1,1,경상남도,함안군
14,강화 원도심 스토리워크,인천광역시 강화군 강화읍 관청길27번길 10,A02,A0203,A02030400,0,0,0,1,인천광역시,강화군
15,강화 화개산 모노레일,인천광역시 강화군 교동면 교동동로471번길 6-60,A02,A0203,A02030400,1,0,0,0,인천광역시,강화군
16,강화도 자연체험농장,인천광역시 강화군 길상면 해안남로 331,A02,A0203,A02030100,0,0,0,1,인천광역시,강화군
17,거차뻘배마을,전라남도 순천시 별량면 거차길 57-16,A02,A0203,A02030100,0,0,0,0,전라남도,순천시
18,경기전 옆 사진관,전북특별자치도 전주시 완산구 경기전길 45 (풍남동1가),A02,A0203,A02030400,0,0,0,1,전북특별자치도,전주시
19,경기해양안전체험관,경기도 안산시 단원구 대부북동,A02,A0203,A02030400,0,0,0,0,경기도,안산시
20,계동배렴가옥,서울특별시 종로구 계동길 89 (계동),A02,A0203,A02030400,1,0,0,0,서울특별시,종로구
21,고구려목장,경기도 파주시 적성면 어못내길 150-46,A02,A0203,A02030100,0,0,0,0,경기도,파주시
