,name,addr1,cat1,cat2,cat3,힐링_int,혼자_int,자연_int,액티비티_int,province,city
0,1004 뮤지엄파크,전라남도 신안군 자은서부2길 508-65,A02,A0202,A02020600,0,0,1,0,전라남도,신안군
1,3.15해양누리공원,경상남도 창원시 마산합포구 월남동1가,A02,A0202,A02020700,1,0,1,0,경상남도,창원시
2,5·18 기념공원,광주광역시 서구 내방로 152,A02,A0202,A02020700,1,0,1,0,광주광역시,서구
3,5·18 자유공원,광주광역시 서구 상무평화로 13,A02,A0202,A02020700,0,0,0,0,광주광역시,서구
4,PTP 애견테마파크,전북특별자치도 익산시 진북로 294-18,A02,A0202,A02020600,0,0,0,0,전북특별자치도,익산시
5,PTP애견테마파크,전북특별자치도 익산시 삼기면 진북로 294-18,A02,A0202,A02020600,0,0,0,0,전북특별자치도,익산시
6,RI온천(RI온천호텔),충청북도 충주시 수안보면 물탕2길 9,A02,A0202,A02020300,0,0,1,1,충청북도,충주시
7,SPA 1899 동인비,서울특별시 강남구 영동대로 416,A02,A0202,A02020300,1,0,0,0,서울특별시,강남구
8,UN조각공원,부산광역시 남구 대연동,A02,A0202,A02020700,1,0,0,0,부산광역시,남구
9,W지우리조트,경기도 가평군 가평읍 북한강변로 970-9,A02,A0202,A02020200,0,0,1,0,경기도,가평군
10,가곡유황온천&스파,강원특별자치도 삼척시 가곡면 탕곡리,A02,A0202,A02020300,1,0,1,0,강원특별자치도,삼척시
11,가막들공원,경기도 의왕시 양지편로 41-2,A02,A0202,A02020700,0,0,0,0,경기도,의왕시
12,가야산역사신화테마관,경상북도 성주군 수륜면 가야산식물원길 21,A02,A0202,A02020700,0,0,0,0,경상북도,성주군
13,가오실공원,경상북도 예천군 개포면 가곡리,A02,A0202,A02020700,0,0,0,0,경상북도,예천군
14,가포해안변공원,경상남도 창원시 마산합포구 드림베이대로 361,A02,A0202,A02020700,0,0,0,0,경상남도,창원시
15,강동 해수온천,울산광역시 북구 동해안로 1418,A02,A0202,A02020300,0,0,1,0,울산광역시,북구
16,강릉 남산공원,강원특별자치도 강릉시 노암동,A02,A0202,A02020700,1,0,0,0,강원특별자치도,강릉시
17,강릉 안목해맞이공원,강원특별자치도 강릉시 견소동,A02,A0202,A02020700,1,0,1,0,강원특별자치도,강릉시
18,강변스파랜드,서울특별시 광진구 구의강변로 45,A02,A0202,A02020400,0,0,0,0,서울특별시,광진구
19,강화해수랜드,인천광역시 강화군 길상면 해안남로 13-12,A02,A0202,A02020300,0,0,1,0,인천광역시,강화군
20,개경포기념공원,경상북도 고령군 개진면 개경포로 681,A02,A0202,A02020700,0,0,0,0,경상북도,고령군
21,개봉 유수지,서울특별시 구로구 개봉동,A02,A0202,A02020700,1,0,0,1,서울특별시,구로구
22,거제도해수보양온천,경상남도 거제시 수양로 507,A02,A0202,A02020300,0,0,0,1,경상남도,거제시
23,거제맹종죽테마공원,경상남도 거제시 하청면 거제북로 700,A02,A0202,A02020600,1,0,1,1,경상남도,거제시
24,거진등대해맞이공원,강원특별자치도 고성군 거진읍 거탄진로209번길 19,A02,A0202,A02020700,0,0,0,0,강원특별자치도,고성군
25,경주시 관광특구,경상북도 경주시 경감로 614,A02,A0202,A02020200,1,0,0,0,경상북도,경주시
26,경주월드 어뮤즈먼트,경상북도 경주시 보문로 544,A02,A0202,A02020600,0,0,0,0,경상북도,경주시
27,경천섬(경천섬공원),경상북도 상주시 중동면 오상리 968-1,A02,A0202,A02020700,1,0,1,1,경상북도,상주시
28,계산국민체육공원,인천광역시 계양구 주부토로 570,A02,A0202,A02020700,0,0,0,0,인천광역시,계양구
29,고려천도공원,인천광역시 강화군 송해면 당산리 388-7,A02,A0202,A02020700,1,0,0,0,인천광역시,강화군
30,고모호수공원,경기도 포천시 소흘읍 고모리,A02,A0202,A02020700,1,0,0,0,경기도,포천시
