,name,addr1,cat1,cat2,cat3,힐링_int,혼자_int,자연_int,액티비티_int,province,city
150,베니키아 프리미어 호텔 베르누이,서울특별시 구로구 경인로 229,B02,B0201,B02010100,0,0,1,0,서울특별시,구로구
151,베니키아 호텔 비즈인,강원특별자치도 원주시 만대로 7-1,B02,B0201,B02010100,0,0,1,0,강원특별자치도,원주시
152,베니키아 호텔 산과 바다 대포항,강원특별자치도 속초시 동해대로 3691,B02,B0201,B02010100,1,0,1,1,강원특별자치도,속초시
153,베니키아 호텔 산과바다 양양,강원특별자치도 양양군 강현면 동해대로 3393,B02,B0201,B02010100,1,0,1,0,강원특별자치도,양양군
154,베니키아더에이치호텔,경기도 화성시 남양읍 남양리,B02,B0201,B02010100,0,0,0,0,경기도,화성시
155,베리온리조트,강원특별자치도 평창군 봉평면 평온길 14-13,B02,B0201,B02010900,0,0,1,0,강원특별자치도,평창군
156,베리온리조트1,강원특별자치도 평창군 봉평면 평온길 14-13,B02,B0201,B02010700,0,0,1,0,강원특별자치도,평창군
157,베스트루이스해밀턴호텔 창원점,경상남도 창원시 성산구 마디미로70번길 10,B02,B0201,B02010100,0,0,0,0,경상남도,창원시
158,베스트웨스턴 프리미어 강남호텔,서울특별시 강남구 봉은사로 139,B02,B0201,B02010100,1,0,0,0,서울특별시,강남구
159,베스트웨스턴 프리미어 인천 에어포트 호텔,인천광역시 중구 공항로424번길 48-27,B02,B0201,B02010100,0,0,0,0,인천광역시,중구
160,베스트웨스턴 하버파크호텔,인천광역시 중구 제물량로 217,B02,B0201,B02010100,0,0,0,0,인천광역시,중구
161,베스트웨스턴 해운대호텔,부산광역시 해운대구 구남로 42,B02,B0201,B02010100,0,0,0,1,부산광역시,해운대구
162,베스트웨스턴플러스전주호텔,전북특별자치도 전주시 완산구 현무1길 41,B02,B0201,B02010100,0,0,0,1,전북특별자치도,전주시
163,베이브리즈가족호텔,충청남도 태안군 소원면 만리포2길 235-9,B02,B0201,B02010900,1,0,1,0,충청남도,태안군
164,베이하운드호텔,부산광역시 영도구 태종로65번길 11 (대교동1가),B02,B0201,B02010900,0,0,1,1,부산광역시,영도구
165,베이힐풀앤빌라,제주특별자치도 서귀포시 예래로 424,B02,B0201,B02010500,0,0,0,1,제주특별자치도,서귀포시
166,별비내리는마을펜션,강원특별자치도 철원군 갈말읍 직탕길 26,B02,B0201,B02010700,0,0,0,0,강원특별자치도,철원군
167,별소네펜션,경기도 가평군 설악면 묵안로 607,B02,B0201,B02010700,0,0,1,0,경기도,가평군
168,별이든 샘 펜션,강원특별자치도 철원군 동송읍 창동로 2297,B02,B0201,B02010700,0,0,0,0,강원특별자치도,철원군
169,보성골망태펜션,전라남도 보성군 보성읍 노산길 5-56,B02,B0201,B02010700,1,0,1,0,전라남도,보성군
170,보성다비치콘도,전라남도 보성군 회천면 충의로 36,B02,B0201,B02010500,1,0,1,0,전라남도,보성군
171,보스코아호텔,강원특별자치도 원주시 미래로 25 (반곡동),B02,B0201,B02010100,0,0,0,0,강원특별자치도,원주시
172,복골온천펜션,강원특별자치도 양양군 강현면 복골길201번길 58,B02,B0201,B02010700,1,0,1,1,강원특별자치도,양양군
173,부곡 로얄관광호텔,경상남도 창녕군 온천중앙로 3 로얄관광호텔,B02,B0201,B02010100,0,0,0,0,경상남도,창녕군
174,부곡스파디움따오기호텔,경상남도 창녕군 부곡면 온천중앙로 42,B02,B0201,B02010100,0,0,1,0,경상남도,창녕군
175,부천한옥체험마을,경기도 부천시 길주로 1 (상동),B02,B0201,B02011600,1,0,0,0,경기도,부천시
176,부티크호텔K 동대문점,서울특별시 동대문구 천호대로 341,B02,B0201,B02010900,0,0,0,0,서울특별시,동대문구
177,북면황토방온천장,경상남도 창원시 의창구 북면 천주로1170번길 17-10,B02,B0201,B02010900,0,0,1,0,경상남도,창원시
178,브라운도트 고덕신도시점,경기도 평택시 고덕중앙로 200-19 제니스타워,B02,B0201,B02010100,0,0,0,1,경기도,평택시
179,브라운도트 천안성정점,충청남도 천안시 서북구 성정공원4길 28 (성정동),B02,B0201,B02010900,0,0,0,0,충청남도,천안시
180,브라운도트 항남점,경상남도 통영시 항남동,B02,B0201,B02010100,1,0,1,1,경상남도,통영시
181,브라운도트&알마호텔,충청북도 청주시 흥덕구 풍년로193번길 14 (가경동),B02,B0201,B02010900,0,0,0,0,충청북도,청주시
182,브라운도트호텔 남춘천점,강원특별자치도 춘천시 남춘로25번길 5 (퇴계동),B02,B0201,B02010100,0,0,0,1,강원특별자치도,춘천시
183,브라운도트호텔 마산오동동점,경상남도 창원시 마산합포구 오동동,B02,B0201,B02010100,0,0,0,0,경상남도,창원시
184,브라운도트호텔 서면범천점,부산광역시 부산진구 황령대로7번길 20-11 (범천동),B02,B0201,B02010100,0,0,0,0,부산광역시,부산진구
185,브라운도트호텔 송정점,부산광역시 해운대구 송정광어골로 30 (송정동),B02,B0201,B02010100,0,0,0,1,부산광역시,해운대구
186,브라운도트호텔 정관점,부산광역시 기장군 정관읍 산단1로 98-31,B02,B0201,B02010100,0,0,1,0,부산광역시,기장군
187,브라운도트호텔 포항 죽도점,경상북도 포항시 북구 죽도로40번길 51,B02,B0201,B02010100,0,0,0,1,경상북도,포항시
188,브라운도트호텔 포항영일대점,경상북도 포항시 북구 해안로 113 휴 모텔,B02,B0201,B02010100,1,0,1,0,경상북도,포항시
189,브라운도트호텔서산점(브라운도트호텔),충청남도 서산시 안견로 284,B02,B0201,B02010100,0,0,0,0,충청남도,서산시
190,브라운스위트 신촌센트럴,서울특별시 마포구 서강로 137 (노고산동),B02,B0201,B02010900,0,0,0,0,서울특별시,마포구
191,브로시스 호텔,부산광역시 중구 구덕로48번길 4,B02,B0201,B02011100,0,0,1,1,부산광역시,중구
192,브이온천모텔,울산광역시 울주군 상북면 알프스온천2길 10,B02,B0201,B02010900,0,0,1,0,울산광역시,울주군
193,블루스토리 호텔,부산광역시 해운대구 해운대해변로237번길 11 (우동),B02,B0201,B02010100,0,0,1,1,부산광역시,해운대구
194,블룸비스타호텔앤컨퍼런스,경기도 양평군 강하면 전수리,B02,B0201,B02010100,0,0,0,0,경기도,양평군
195,빅 존스 플레이스,서울특별시 강남구 강남대로110길 31-1,B02,B0201,B02011100,0,0,0,0,서울특별시,강남구
196,사과나무관광호텔,경상남도 창원시 마산합포구 가포신항북로 16,B02,B0201,B02010100,0,0,1,0,경상남도,창원시
