,name,addr1,cat1,cat2,cat3,힐링_int,혼자_int,자연_int,액티비티_int,province,city
0,(주)데일리랜드,강원특별자치도 춘천시 동산면 윗성골길 36,A03,A0302,A03021700,1,0,1,0,강원특별자치도,춘천시
1,F1 오토캠핑장,전라남도 영암군 삼호읍 삼포리 1894,A03,A0302,A03021700,0,0,0,1,전라남도,영암군
2,GS25 뉴한강세빛섬점,서울특별시 서초구 반포동 650,A03,A0302,A03022600,0,0,1,0,서울특별시,서초구
3,NFC(축구 국가대표팀 트레이닝 센터),경기도 파주시 탄현면 필승로 368,A03,A0302,A03020300,0,0,0,0,경기도,파주시
4,SRC재활체육관 광주,경기도 광주시 초월읍 경수길 25,A03,A0302,A03020200,1,0,0,1,경기도,광주시
5,W홀스랜드,경기도 가평군 상면 물골길 391,A03,A0302,A03021100,0,0,0,0,경기도,가평군
6,YELLOW HILL,강원특별자치도 춘천시 동산면 종자리로 224-24,A03,A0302,A03021700,0,0,0,1,강원특별자치도,춘천시
7,[강릉 바우길 3구간] 어명을 받은 소나무길,강원특별자치도 강릉시 성산면 보광리,A03,A0302,A03022700,0,0,0,0,강원특별자치도,강릉시
8,[강릉 바우길 8구간] 산우에 바닷길,강원특별자치도 강릉시 강동면 안인진리,A03,A0302,A03022700,0,0,0,0,강원특별자치도,강릉시
9,[구리 둘레길 1코스] 역사와 자연이 살아있는 구리 둘레길,경기도 구리시 장자호수공원,A03,A0302,A03022700,0,0,0,0,경기도,구리시
10,[대구올레 팔공산 2코스] 한실골 가는 길,대구광역시 동구 신숭겸길 17,A03,A0302,A03022700,1,0,0,1,대구광역시,동구
11,[대구올레 팔공산 6코스] 단산지 가는 길,대구광역시 수성구 불로동,A03,A0302,A03022700,0,0,0,0,대구광역시,수성구
12,[무등산 옛길 2구간] 원효사~서석대,광주광역시 북구 무등로 1514-35,A03,A0302,A03022700,1,0,0,0,광주광역시,북구
13,[변산 마실길 1코스] 조개미 패총길,전북특별자치도 부안군 변산면,A03,A0302,A03022700,1,0,1,0,전북특별자치도,부안군
14,[변산 마실길 2코스] 노루목 상사화길,전북특별자치도 부안군 변산면,A03,A0302,A03022700,0,0,1,0,전북특별자치도,부안군
15,[북한산 둘레길] 1 소나무숲길,서울특별시 강북구 삼양로173길 12,A03,A0302,A03022700,1,0,1,1,서울특별시,강북구
16,[북한산 둘레길] 10 내시묘역길,서울특별시 은평구 진관동,A03,A0302,A03022700,1,0,1,0,서울특별시,은평구
17,[북한산 둘레길] 12 충의길,경기도 고양시 덕양구 지축동,A03,A0302,A03022700,1,0,1,0,경기도,고양시
18,[북한산 둘레길] 2 순례길,서울특별시 강북구 우이동,A03,A0302,A03022700,1,0,1,1,서울특별시,강북구
19,[북한산 둘레길] 21 우이령길,경기도 양주시 장흥면 교현리,A03,A0302,A03022700,1,0,1,0,경기도,양주시
20,[북한산 둘레길] 3 흰구름길,서울특별시 강북구 수유동,A03,A0302,A03022700,1,0,1,1,서울특별시,강북구
21,[북한산 둘레길] 4 솔샘길,서울특별시 성북구 솔샘로25길 121-50,A03,A0302,A03022700,1,0,1,0,서울특별시,성북구
22,[북한산 둘레길] 5 명상길,서울특별시 성북구 정릉4동,A03,A0302,A03022700,0,0,0,0,서울특별시,성북구
23,[북한산 둘레길] 7 옛성길,서울특별시 종로구 구기동,A03,A0302,A03022700,1,0,1,0,서울특별시,종로구
24,[북한산 둘레길] 8 구름정원길,서울특별시 은평구 불광동,A03,A0302,A03022700,1,1,1,1,서울특별시,은평구
25,[북한산 둘레길] 9 마실길,서울특별시 은평구 진관동,A03,A0302,A03022700,1,0,1,0,서울특별시,은평구
26,[서울둘레길 1코스] 수락·불암산코스,서울특별시 노원구 중계동,A03,A0302,A03022700,0,0,0,0,서울특별시,노원구
27,[서울둘레길 2코스] 용마·아차산코스,서울특별시 노원구 화랑로 지하 510,A03,A0302,A03022700,0,0,0,0,서울특별시,노원구
28,[서울둘레길 4코스] 대모·우면산코스,서울특별시 강남구 광평로 지하 270,A03,A0302,A03022700,0,1,0,1,서울특별시,강남구
29,[서울둘레길 5코스] 관악산코스,서울특별시 관악구 과천대로 941,A03,A0302,A03022700,1,0,0,0,서울특별시,관악구
30,[서울둘레길 6코스] 안양천코스,경기도 안양시 만안구 경수대로 1431,A03,A0302,A03022700,0,0,0,0,경기도,안양시
31,[서울둘레길 7코스] 봉산·앵봉산코스,서울특별시 강서구 양천로 497,A03,A0302,A03022700,0,0,0,0,서울특별시,강서구
32,[서울둘레길 8코스] 북한산코스,서울특별시 은평구 진관2로 지하15-25 (진관동),A03,A0302,A03022700,0,0,0,0,서울특별시,은평구
33,[제주올레 1-1코스] 우도-올레,제주특별자치도 제주시 우도면 연평리 1737-1,A03,A0302,A03022700,0,0,0,0,제주특별자치도,제주시
34,[제주올레 10-1코스] 가파도 올레,제주특별자치도 서귀포시 대정읍 가파로 243,A03,A0302,A03022700,0,0,0,1,제주특별자치도,서귀포시
35,[제주올레 10코스] 화순-모슬포 올레,제주특별자치도 서귀포시 안덕면 화순해안로 85,A03,A0302,A03022700,1,0,1,0,제주특별자치도,서귀포시
36,[제주올레 11코스] 모슬포-무릉 올레,제주특별자치도 서귀포시 대정읍 하모리 2140,A03,A0302,A03022700,1,0,0,0,제주특별자치도,서귀포시
37,[제주올레 12코스] 무릉-용수 올레,제주특별자치도 서귀포시 중산간서로 2852,A03,A0302,A03022700,1,0,1,0,제주특별자치도,서귀포시
38,[제주올레 13코스] 용수-저지 올레,제주특별자치도 제주시 한경면 용수리 4241-7,A03,A0302,A03022700,0,0,0,0,제주특별자치도,제주시
39,[제주올레 14코스] 저지-한림 올레,제주특별자치도 제주시 한경면 저지리 1851-5,A03,A0302,A03022700,1,0,1,0,제주특별자치도,제주시
40,[제주올레 16코스] 고내-광령 올레,제주특별자치도 제주시 애월읍 고내리 1111-2,A03,A0302,A03022700,1,0,1,0,제주특별자치도,제주시
41,[제주올레 19코스] 조천-김녕 올레,제주특별자치도 제주시 조천읍 조천리 1209-1,A03,A0302,A03022700,0,0,0,0,제주특별자치도,제주시
42,[제주올레 1코스] 시흥-광치기 올레,제주특별자치도 서귀포시 성산읍 시흥상동로 113,A03,A0302,A03022700,0,0,0,0,제주특별자치도,서귀포시
43,[제주올레 20코스] 김녕-하도 올레,제주특별자치도 제주시 구좌읍 김녕리 4069,A03,A0302,A03022700,0,0,0,0,제주특별자치도,제주시
44,[제주올레 2코스] 광치기-온평 올레,제주특별자치도 서귀포시 성산읍 고성리 224-33,A03,A0302,A03022700,0,0,1,0,제주특별자치도,서귀포시
45,[제주올레 4코스] 표선-남원 올레,제주특별자치도 서귀포시 표선면 민속해안로 594,A03,A0302,A03022700,1,0,1,0,제주특별자치도,서귀포시
46,[제주올레 8코스] 월평-대평 올레,제주특별자치도 서귀포시 월평동 741-3,A03,A0302,A03022700,1,0,1,0,제주특별자치도,서귀포시
47,[제주올레 9코스] 대평-화순 올레,제주특별자치도 서귀포시 안덕면 감산리 982-3,A03,A0302,A03022700,0,0,0,0,제주특별자치도,서귀포시
48,[증도 모실길 1코스] 천년의 숲길,전라남도 신안군 증도면,A03,A0302,A03022700,0,0,0,0,전라남도,신안군
49,[증도 모실길 2코스] 갯벌공원길,전라남도 신안군 증도면,A03,A0302,A03022700,0,0,0,0,전라남도,신안군
50,[증도 모실길 3코스] 천일염길,전라남도 신안군 증도면,A03,A0302,A03022700,0,0,0,0,전라남도,신안군
51,[지리산 둘레길 코스] 주천~운봉,전북특별자치도 남원시 주천면 외평2길 5,A03,A0302,A03022700,0,0,0,0,전북특별자치도,남원시
52,[충효길코스 1코스] 고구동산길,서울특별시 동작구 상도로53길 70,A03,A0302,A03022700,0,0,0,0,서울특별시,동작구
53,가반나야영장,경상남도 남해군 서부로 892-9,A03,A0302,A03021700,0,0,0,0,경상남도,남해군
54,가산산성마을 캠핑장,경상북도 칠곡군 가산로 891,A03,A0302,A03021700,0,0,0,0,경상북도,칠곡군
55,가평TOP랜드 번지점프,경기도 가평군 가평읍 북한강변로 1044-15,A03,A0302,A03022400,0,0,1,0,경기도,가평군
56,가평레져카트장,경기도 가평군 상면 수목원로 40,A03,A0302,A03020600,0,0,0,0,경기도,가평군
57,가평무릉도원캠핑장,경기도 가평군 상면 임초밤안골로 207,A03,A0302,A03021700,0,0,0,0,경기도,가평군
58,가평사계절썰매장,경기도 가평군 상면 깃대봉길 5-20,A03,A0302,A03021400,0,0,0,0,경기도,가평군
59,가평황토은글램핑,경기도 가평군 설악면 장수로79번길 63-18,A03,A0302,A03021700,0,0,0,0,경기도,가평군
60,갈기산펜션캠핑장,경기도 양평군 청운면 신론새터길 23,A03,A0302,A03021700,1,0,1,0,경기도,양평군
61,감귤카트,제주특별자치도 서귀포시 중문관광로 42 (색달동),A03,A0302,A03020600,0,0,1,0,제주특별자치도,서귀포시
62,강릉컬링센터 (강릉실내빙상장),강원특별자치도 강릉시 종합운동장길 32,A03,A0302,A03021300,0,0,0,1,강원특별자치도,강릉시
63,강산에레포츠,충청북도 단양군 영춘면 북벽길 51-16,A03,A0302,A03022100,0,0,0,1,충청북도,단양군
64,강서청소년회관,서울특별시 강서구 공항대로42길 23-19,A03,A0302,A03020200,0,0,0,1,서울특별시,강서구
65,강촌레일파크경강레일바이크,강원특별자치도 춘천시 남산면 서백길 57,A03,A0302,A03022700,0,0,1,1,강원특별자치도,춘천시
66,강화도산들애캠핑수영장,인천광역시 강화군 강화읍 고비고개로 171,A03,A0302,A03021700,0,0,1,1,인천광역시,강화군
67,거제오션뷰카트체험장,경상남도 거제시 일운면 거제대로 1514-18,A03,A0302,A03020600,0,0,0,0,경상남도,거제시
68,검단산숲에 캠핑장,경기도 하남시 검단산로146번길 80,A03,A0302,A03021700,1,0,0,0,경기도,하남시
69,경인아라뱃길 아라파크웨이마당,인천광역시 계양구 정서진로 1559,A03,A0302,A03020500,0,0,0,1,인천광역시,계양구
70,경주보문실탄사격장,경상북도 경주시 보문로 424-11,A03,A0302,A03021600,0,0,0,0,경상북도,경주시
