,Unnamed: 0_x,name,혼자,액티비티,자연,힐링,Unnamed: 0_y,addr1,cat1,cat2,cat3,힐링_int,혼자_int,자연_int,액티비티_int,province,city,1,2,3,4,5,6,7,8,9,10,11,12
0,0,(주)퀵실버록시 강릉점,0.4960740953683853,0.6169442862272263,0.6130091547966003,0.6064635038375854,0,강원특별자치도 강릉시 곶감전길 4 (성남동),A04,A0401,A04011000,0,0,0,0,강원특별자치도,강릉시,0.082435633414556,0.073627293066096,0.0705041686453829,0.0840626528298827,0.0557525304331423,0.0558175886557742,0.0390484364211395,0.0875336506180625,0.0774497241066746,0.0799408873277659,0.1458207526427832,0.0843880744409682
1,1,1LDK SEOUL 청담,0.5250467836856842,0.5764093816280365,0.6261246681213379,0.6931518375873565,1,서울특별시 강남구 선릉로162길 5(청담동),A04,A0401,A04011000,0,0,0,0,서울특별시,강남구,0.082435633414556,0.073627293066096,0.0705041686453829,0.0840626528298827,0.0557525304331423,0.0558175886557742,0.0390484364211395,0.0875336506180625,0.0774497241066746,0.0799408873277659,0.1458207526427832,0.0843880744409682
2,2,3CE 롯데안산,0.4825595915317535,0.5603937417268753,0.5865565299987793,0.6598267585039139,2,경기도 안산시 단원구 고잔1길 12,A04,A0401,A04011000,0,0,0,0,경기도,안산시,0.082435633414556,0.073627293066096,0.0705041686453829,0.0840626528298827,0.0557525304331423,0.0558175886557742,0.0390484364211395,0.0875336506180625,0.0774497241066746,0.0799408873277659,0.1458207526427832,0.0843880744409682
3,3,4CUS 롯데 영등포점,0.5305549830198288,0.5846793532371521,0.6122202426195145,0.6501542001962661,3,서울특별시 영등포구 경인로 846,A04,A0401,A04011000,0,0,0,0,서울특별시,영등포구,0.082435633414556,0.073627293066096,0.0705041686453829,0.0840626528298827,0.0557525304331423,0.0558175886557742,0.0390484364211395,0.0875336506180625,0.0774497241066746,0.0799408873277659,0.1458207526427832,0.0843880744409682
4,4,8번가위드팜약국,0.4690310984849929,0.5551829040050507,0.5830826938152314,0.6304431736469269,4,서울특별시 서대문구 성산로 515,A04,A0401,A04011000,0,0,0,0,서울특별시,서대문구,0.082435633414556,0.073627293066096,0.0705041686453829,0.0840626528298827,0.0557525304331423,0.0558175886557742,0.0390484364211395,0.0875336506180625,0.0774497241066746,0.0799408873277659,0.1458207526427832,0.0843880744409682
5,5,ABC마트 GS광주충장로,0.5031473398208618,0.5813288390636444,0.5731566727161408,0.5844237804412842,5,광주광역시 동구 충장로 83,A04,A0401,A04011000,0,0,0,0,광주광역시,동구,0.082435633414556,0.073627293066096,0.0705041686453829,0.0840626528298827,0.0557525304331423,0.0558175886557742,0.0390484364211395,0.0875336506180625,0.0774497241066746,0.0799408873277659,0.1458207526427832,0.0843880744409682
6,6,ABC마트 GS대전은행,0.4453538388013839,0.5230713993310928,0.5193156868219375,0.5339684307575225,6,대전광역시 중구 중앙로156번길 7,A04,A0401,A04011000,0,0,0,0,대전광역시,중구,0.082435633414556,0.073627293066096,0.0705041686453829,0.0840626528298827,0.0557525304331423,0.0558175886557742,0.0390484364211395,0.0875336506180625,0.0774497241066746,0.0799408873277659,0.1458207526427832,0.0843880744409682
7,7,ABC마트 GS부산광복,0.5274106323719024,0.6195789039134979,0.6266010165214538,0.6367474853992462,7,부산광역시 중구 광복중앙로 2,A04,A0401,A04011000,0,0,0,0,부산광역시,중구,0.082435633414556,0.073627293066096,0.0705041686453829,0.0840626528298827,0.0557525304331423,0.0558175886557742,0.0390484364211395,0.0875336506180625,0.0774497241066746,0.0799408873277659,0.1458207526427832,0.0843880744409682
8,8,ABC마트 GS엔터식스안양,0.5186270296573638,0.61307173371315,0.620726615190506,0.6346917033195496,8,경기도 안양시 만안구 만안로 232,A04,A0401,A04011000,0,0,0,0,경기도,안양시,0.082435633414556,0.073627293066096,0.0705041686453829,0.0840626528298827,0.0557525304331423,0.0558175886557742,0.0390484364211395,0.0875336506180625,0.0774497241066746,0.0799408873277659,0.1458207526427832,0.0843880744409682
9,9,ABC마트 GS인천부평,0.5216567397117615,0.6010821342468262,0.6213257431983947,0.6767995357513428,9,"인천광역시 부평구 부평문화로66번길 17(부평동,1층,B1층)",A04,A0401,A04011000,0,0,0,0,인천광역시,부평구,0.082435633414556,0.073627293066096,0.0705041686453829,0.0840626528298827,0.0557525304331423,0.0558175886557742,0.0390484364211395,0.0875336506180625,0.0774497241066746,0.0799408873277659,0.1458207526427832,0.0843880744409682
10,10,ABC마트 GS제주칠성,0.4593542963266372,0.5424110203981399,0.5340754568576813,0.5432535201311112,10,제주특별자치도 제주시 관덕로11길 6 (일도일동),A04,A0401,A04011000,0,0,0,0,제주특별자치도,제주시,0.082435633414556,0.073627293066096,0.0705041686453829,0.0840626528298827,0.0557525304331423,0.0558175886557742,0.0390484364211395,0.0875336506180625,0.0774497241066746,0.0799408873277659,0.1458207526427832,0.0843880744409682
11,11,ABC마트 GS청주성안,0.4296424448490142,0.5057470798492432,0.5147323936223984,0.579370579123497,11,충청북도 청주시 상당구 성안로 17-1(북문로1가),A04,A0401,A04011000,0,0,1,0,충청북도,청주시,0.082435633414556,0.073627293066096,0.0705041686453829,0.0840626528298827,0.0557525304331423,0.0558175886557742,0.0390484364211395,0.0875336506180625,0.0774497241066746,0.0799408873277659,0.1458207526427832,0.0843880744409682
