,Unnamed: 0_x,name,혼자,액티비티,자연,힐링,Unnamed: 0_y,addr1,cat1,cat2,cat3,힐링_int,혼자_int,자연_int,액티비티_int,province,city,1,2,3,4,5,6,7,8,9,10,11,12
0,0,(주)외식명가 오립스,0.556088462471962,0.7212115168571472,0.6704044044017792,0.610320246219635,0,경상남도 김해시 김해대로1765번길 8,A05,A0502,A05020100,0,0,0,0,경상남도,김해시,0.0623749584374424,0.0760949601548384,0.1250142040544025,0.0690983673355139,0.0664920830206553,0.0614951266638504,0.055276313999049,0.0613450519042192,0.0653253296754417,0.0616879556870112,0.0619573895733704,0.0561046388647313
1,1,01DORA,0.5831259906291961,0.7196181058883667,0.6667394697666168,0.6232764720916748,1,전라남도 곡성군 기차마을로 260,A05,A0502,A05020900,0,0,0,0,전라남도,곡성군,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1.5닭갈비 본점,0.5551524341106415,0.7137607991695404,0.6517446756362915,0.600835257768631,2,강원특별자치도 춘천시 후만로 77,A05,A0502,A05020100,0,0,0,0,강원특별자치도,춘천시,0.0623749584374424,0.0760949601548384,0.1250142040544025,0.0690983673355139,0.0664920830206553,0.0614951266638504,0.055276313999049,0.0613450519042192,0.0653253296754417,0.0616879556870112,0.0619573895733704,0.0561046388647313
3,3,100년 장어촌,0.5797612100839615,0.7159703373908997,0.6546010076999664,0.6010432958602905,3,경기도 시흥시 계수로 70,A05,A0502,A05020100,0,0,0,0,경기도,시흥시,0.0623749584374424,0.0760949601548384,0.1250142040544025,0.0690983673355139,0.0664920830206553,0.0614951266638504,0.055276313999049,0.0613450519042192,0.0653253296754417,0.0616879556870112,0.0619573895733704,0.0561046388647313
4,4,100년임당방앗간,0.5873240113258362,0.7166658163070678,0.6729300141334533,0.6282521665096283,4,강원특별자치도 강릉시 경강로2095번길 7,A05,A0502,A05020900,0,0,0,0,강원특별자치도,강릉시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,101번지남산돈까스본점,0.5646153360605239,0.7208440124988555,0.6700185358524322,0.6278382539749146,5,서울특별시 중구 소파로 101,A05,A0502,A05020100,0,0,0,0,서울특별시,중구,0.0623749584374424,0.0760949601548384,0.1250142040544025,0.0690983673355139,0.0664920830206553,0.0614951266638504,0.055276313999049,0.0613450519042192,0.0653253296754417,0.0616879556870112,0.0619573895733704,0.0561046388647313
6,6,108궁돌찜,0.6243264585733413,0.694583636522293,0.692080843448639,0.6715499997138977,6,경기도 고양시 일산서구 탄중로 246,A05,A0502,A05020100,0,0,0,0,경기도,고양시,0.0623749584374424,0.0760949601548384,0.1250142040544025,0.0690983673355139,0.0664920830206553,0.0614951266638504,0.055276313999049,0.0613450519042192,0.0653253296754417,0.0616879556870112,0.0619573895733704,0.0561046388647313
7,7,111LAC,0.5906817436218261,0.7213826715946198,0.6873519361019135,0.6437272667884827,7,충청북도 청주시 상당구 추정2길 13-2,A05,A0502,A05020900,0,0,0,0,충청북도,청주시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,11시들쌈밥 신탄진본점,0.5898333013057708,0.712804090976715,0.6776117503643035,0.6248871147632599,8,대전광역시 대덕구 대청로 9,A05,A0502,A05020100,0,0,0,0,대전광역시,대덕구,0.0623749584374424,0.0760949601548384,0.1250142040544025,0.0690983673355139,0.0664920830206553,0.0614951266638504,0.055276313999049,0.0613450519042192,0.0653253296754417,0.0616879556870112,0.0619573895733704,0.0561046388647313
9,9,11호남도할머니칼국수,0.6075362443923951,0.7231204390525818,0.6858938157558441,0.617573207616806,9,경기도 안산시 단원구 대선로 11,A05,A0502,A05020100,0,0,0,0,경기도,안산시,0.0623749584374424,0.0760949601548384,0.1250142040544025,0.0690983673355139,0.0664920830206553,0.0614951266638504,0.055276313999049,0.0613450519042192,0.0653253296754417,0.0616879556870112,0.0619573895733704,0.0561046388647313
10,10,123할매김밥,0.5567726522684098,0.6388609766960144,0.6252424538135528,0.6489135354757309,10,경상남도 통영시 통영해안로 233-1,A05,A0502,A05020100,0,0,0,0,경상남도,통영시,0.0623749584374424,0.0760949601548384,0.1250142040544025,0.0690983673355139,0.0664920830206553,0.0614951266638504,0.055276313999049,0.0613450519042192,0.0653253296754417,0.0616879556870112,0.0619573895733704,0.0561046388647313
11,11,16번길한옥카페,0.5792964428663254,0.7159636378288269,0.6752459764480591,0.6329103708267212,11,경기도 시흥시 물왕수변로 16,A05,A0502,A05020900,0,0,0,0,경기도,시흥시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,180커피로스터스,0.591937929391861,0.7214101135730744,0.6923329889774322,0.6645070791244507,12,경기도 성남시 분당구 문정로144번길 4,A05,A0502,A05020900,0,0,0,0,경기도,성남시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,1894사랑채,0.5607635676860809,0.7201982975006104,0.6837350964546204,0.636672705411911,13,경상북도 경주시 포석로1068번길 23,A05,A0502,A05020900,0,0,0,0,경상북도,경주시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,1925감포,0.5633409947156907,0.6904579520225524,0.6403660178184509,0.5974500417709351,14,경상북도 경주시 감포안길 15,A05,A0502,A05020900,0,0,0,0,경상북도,경주시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
