,Unnamed: 0_x,name,혼자,액티비티,자연,힐링,Unnamed: 0_y,addr1,cat1,cat2,cat3,힐링_int,혼자_int,자연_int,액티비티_int,province,city
299,299,웰호텔,0.4950484600332048,0.6824554536077712,0.6488656534088982,0.6091519461737739,299,전라남도 목포시 비파로116번길 6-2,B02,B0201,B02010100,0,0,0,0,전라남도,목포시
300,300,유로파라텔,0.3808771632611751,0.4768134690821171,0.4863006211817264,0.5864426009356976,300,서울특별시 구로구 새말로18길 142,B02,B0201,B02010900,0,0,0,0,서울특별시,구로구
301,301,유어스호텔,0.526978251338005,0.674474710226059,0.6357520133256912,0.5860797226428985,301,제주특별자치도 서귀포시 천제연로178번길 21 (중문동),B02,B0201,B02010100,1,0,1,1,제주특별자치도,서귀포시
302,302,유준당 바이 버틀러리,0.5571187237898508,0.6744120518366495,0.6527082125345866,0.6008106470108032,302,서울특별시 종로구 계동4길 10-4 (계동),B02,B0201,B02011600,0,0,0,1,서울특별시,종로구
303,303,유탑부티크호텔앤레지던스,0.5475753366947174,0.7005130171775817,0.6753902554512023,0.6378994762897492,303,광주광역시 서구 시청로 53,B02,B0201,B02010100,1,0,1,0,광주광역시,서구
304,304,유토피아가족호텔,0.4944178581237793,0.6196908950805664,0.6108427822589875,0.6161566853523255,304,전라남도 목포시 평화로 65-9,B02,B0201,B02010900,1,0,0,0,전라남도,목포시
305,305,유토피아관광호텔,0.4961903393268585,0.5897427916526794,0.5817144334316253,0.5875767171382904,305,부산광역시 수영구 무학로9번길 133,B02,B0201,B02010100,0,0,1,1,부산광역시,수영구
306,306,으지네민박,0.5989362001419067,0.742805004119873,0.698102593421936,0.6323233246803284,306,강원특별자치도 평창군 탑동길 108-16,B02,B0201,B02010700,0,0,0,1,강원특별자치도,평창군
307,307,이끌림 클래식 호텔 평택점,0.4649612933397293,0.5304728209972381,0.5383997112512589,0.5519602954387665,307,경기도 평택시 평택항로184번길 3-13,B02,B0201,B02010100,0,0,1,0,경기도,평택시
308,308,이브텔,0.5445365533232689,0.5572860613465309,0.5847738087177277,0.6092811152338982,308,경기도 파주시 탄현면 필승로 446,B02,B0201,B02010900,0,0,0,0,경기도,파주시
309,309,이비스 앰배서더 부산 시티센터,0.5463906973600388,0.6975151598453522,0.6716528713703156,0.5900082468986512,309,부산광역시 부산진구 중앙대로 777,B02,B0201,B02010100,0,0,0,0,부산광역시,부산진구
310,310,이스키아호텔,0.5361826896667481,0.6381751328706742,0.6298723638057708,0.5862951040267944,310,경기도 용인시 기흥구 동백3로11번길 37 (중동),B02,B0201,B02010100,0,0,1,0,경기도,용인시
311,311,익산유스호스텔,0.4401100426912308,0.5533086717128753,0.5713703006505966,0.6214789837598801,311,전북특별자치도 익산시 마한로 11,B02,B0201,B02010600,0,0,0,0,전북특별자치도,익산시
312,312,인디프레젠트호텔,0.4804299890995026,0.5859065294265747,0.5805491000413895,0.5822563201189042,312,경기도 구리시 갈매동,B02,B0201,B02010100,0,0,0,0,경기도,구리시
313,313,인앤김펜션,0.5070488623210362,0.6707261800765991,0.6335725954600743,0.5689721873828343,313,경상남도 통영시 산양읍 이운길 64-40,B02,B0201,B02010700,1,0,1,1,경상남도,통영시
314,314,인천공항비치호텔,0.4252249201138814,0.5790682037671407,0.5548812548319498,0.5750466386477152,314,인천광역시 중구 용유서로 373-1,B02,B0201,B02010100,0,0,0,0,인천광역시,중구
315,315,일루와유 달보루,0.603803277015686,0.7090427974859873,0.6725672682126363,0.6323851446310679,315,서울특별시 은평구 연서로50길 7-9,B02,B0201,B02011600,0,0,1,0,서울특별시,은평구
316,316,일성콘도 제주비치,0.494355645775795,0.6018676400184632,0.5893108069896698,0.6228550195693969,316,제주특별자치도 제주시 한림읍 한림로 127,B02,B0201,B02010500,1,0,1,0,제주특별자치도,제주시
317,317,자우리호텔 당진점,0.5252649754285812,0.6146049827337265,0.6473074853420258,0.6399401158094407,317,충청남도 당진시 석문면 통정리,B02,B0201,B02010900,0,0,0,0,충청남도,당진시
318,318,자함헌,0.5739203691482544,0.709239912033081,0.6762655675411224,0.5878548800945282,318,서울특별시 은평구 진관길 11-11,B02,B0201,B02011600,0,0,0,1,서울특별시,은평구
319,319,잠실 상주호텔,0.5786922991275787,0.7249860405921936,0.6847219347953797,0.6204955697059631,319,서울특별시 송파구 올림픽로8길 19,B02,B0201,B02010900,0,0,0,1,서울특별시,송파구
320,320,저스트스위트호텔 다산로데오점,0.5693452566862106,0.6831050932407379,0.6782003700733185,0.6452035248279572,320,경기도 남양주시 다산동,B02,B0201,B02010100,0,0,1,0,경기도,남양주시
321,321,저스트슬립호텔 김포구래1호점,0.506428137421608,0.6121051847934723,0.606835401058197,0.6226069867610932,321,경기도 김포시 김포한강9로75번길 72,B02,B0201,B02010100,0,0,1,0,경기도,김포시
322,322,저스트슬립호텔 다산신도시점,0.495787101984024,0.6367269724607467,0.6100491642951965,0.5809365034103393,322,경기도 남양주시 다산동,B02,B0201,B02010100,0,0,1,0,경기도,남양주시
323,323,저스트슬립호텔 유성온천점,0.5033259421586991,0.6313972741365432,0.6037643671035766,0.5652143657207489,323,대전광역시 유성구 온천로101번길 10-1 (봉명동),B02,B0201,B02010100,0,0,0,0,대전광역시,유성구
324,324,저스트슬립호텔 지행역점,0.5697693824768066,0.6906684577465058,0.6668123364448547,0.634100878238678,324,경기도 동두천시 중앙로 110-9 한스빌딩,B02,B0201,B02010100,0,0,0,1,경기도,동두천시
325,325,전주 카누호텔,0.5290206521749496,0.6446738362312316,0.6359532415866852,0.6088663101196289,325,전북특별자치도 전주시 덕진구 산정2길 12-7,B02,B0201,B02010500,0,0,0,1,전북특별자치도,전주시
326,326,제우메스호텔,0.4665238559246063,0.5724259376525879,0.6028131723403931,0.5753398180007935,326,인천광역시 중구 흰바위로59번길 31,B02,B0201,B02010100,0,0,0,0,인천광역시,중구
