,name,review,words,힐링,혼자,자연,액티비티,addr1,cat1,cat2,cat3
10,ABC마트 GS제주칠성,"좋아여
사이즈 맞는 신발이 별로 없어 여기저기 돌아다니던 중에 abc마트 gs제주칠성점에 들르게 되었는데요 여자직원분이 엄청 친절하셔서 감동받고 왔습니다. 사이즈도 잘 찾아주시고 신어볼 때도 끈도 다 묶어주시고 너무 친절하시더라고요. 김ㅈㅁ 님 정말 감사드려요. 덕분에 발에 잘 맞는 이쁜신발 구매했습니다^^
신발 정말 이쁘네요~ 
아이운동화구입했어요. 친절하십니다.
친절
직원분이 너무너무 친절하셨어요 👍
60퍼 세일상품 잘 득템하면 인터넷보다 저렴히 살수있음

이츠귿👍🏻
친절",친절 인터넷 득템 상품 이츠귿 끈 볼 신어 때 감사 사이즈 직원 별로 여자 마트 감동 여기저기 중 점 신발 신발 정말 아이 운동화 구매 덕분 구입 발 사이즈 직원,X,X,X,X,제주특별자치도 제주시 관덕로11길 6 (일도일동),A04,A0401,A04011000
11,ABC마트 GS청주성안,"굿
abc 마트 
굳
굿
좋아요, 
지나갈 따 마다 한번식 눈으로 훑어보게 되는 곳 이에요
직원분들도 대부분 친절하시고 부담스럽지 않아서 좋아요!
굿
좋아요
종류도 많고 직원들도 친절하고 좋아요~
굿 ",굿 눈 대부분 번식 곳 부담 마트 마다 직원 종류 직원 굿 마다 곳 부담 번식 대부분 종류 눈 마트 굿 직원 종류 마트 마다 대부분 눈 부담 번식 곳,X,X,O,X,충청북도 청주시 상당구 성안로 17-1(북문로1가),A04,A0401,A04011000
12,ABC마트 GS홍대홍익로,"상품다양 
직원분들 친절하시고 다른 매장보다 디자인 종류가 더 다양한 것 같아요!
굿
맘에 드는 걸로 저렴하게 잘 샀어요
좋아요~
굿
다양해요.
좋아요
조아요
굿",다양 상품 직원 것 더 디자인 다른 매장 종류 굿 굿 맘 걸 종류 매장 디자인 다른 상품 더 직원 굿 걸 맘 다른 매장 것 종류 더 디자인 직원,X,X,X,X,서울특별시 마포구 홍익로5길 13(서교동),A04,A0401,A04011000
13,ABC마트 MS 강릉점,"👍
워킹화 사려고왔는뎅
넘 맘에들게 잘 샀어요 ^^
❤️👍👍
good!!
굿
세일하더라구요
득템한 기분이네요
남동생 신발 필요하데서 저렴한 가격에 두컬레 선물했어요

직원들 친절하고 브랜드모두 구비하고 있어서 원스탑쇼핑하기에 좋습니다!  이월상품경우 세일도 많이 하는듯합니다!
다양한 신발이 있어서 좋아요. 
직원들이 친절합니다",직원 신발 가격 기분 선물 득템 세 두컬레 브랜드 굿 상품 경우 일도 이월 신발 직원 뎅 사려 워킹 맘 맘 사려 워킹 뎅 신발 직원 이월 경우 상품 일도,X,X,X,X,강원특별자치도 강릉시 금성로42번길 10,A04,A0401,A04011000
14,ABC마트 MS 스타필드 고양점,"좋아요

피드백 좋아요
굳
나쁘지 않습니다. 다만 세일하는게 최고고 일반적인 신발은 싼편은 아님을 주의하세요 

그래도 신어보고 사는데 여기만한곳 없음 !
친절하세요
운동화끈 종류가 많아요. 다이소갔다가 여기로왔네요.
주차 편하고 운동화 관련 용품이 다양해요.
굳
다양한 제품이 많아요.
직원분들이 친절해요.",운동화 주차 용품 관련 화끈 운동 종류 피드백 제품 다이소 직원 제품 피드백 여기 다이소 종류 화끈 운동 관련 주차 주의 최고 곳 다만 신발 편 일반 세 기만 보고,X,X,X,O,경기도 고양시 덕양구 고양대로 1955,A04,A0401,A04011000
15,ABC마트 MS롯데은평,"저렴하게 구매했습니다 
좋아요.
상품이 다 모여있어서 편해요
굿굿 굿굿 
좋아요 
좋아요
좋아요
좋아요
굿
손녀가 무척 맘에 들어해요",굿굿 맘 무척 손녀 굿 상품 해 구매 구매 굿굿 해 상품 굿 손녀 무척 맘 구매 해 손녀 상품 무척 굿 맘 굿굿,X,X,X,X,서울특별시 은평구 통일로 1050,A04,A0401,A04011000
16,ABC마트 MS전주객사,"디스커버리 스니커즈 발에 딱맞고 깔끔해서
맘에 들어요. 
오늘 처음 신고 나들이.나왔어요~
세일해서 두켤레 저렴히 샀어옹
굿
굿
편리하게 잘 샀네요
굿
초6둘째딸이 아빠생신이라고 선물해줬어요
너무기특하고 대견하네요😍
굳
굿
굿",맘 디스커버리 스니커즈 발 굿 선물 초 둘째딸 켤레 처음 굿 아빠 옹 오늘 일해 나들이 신고 생신 처음 켤레 발 스니커즈 맘 디스커버리 선물 신고 오늘 나들이 켤레 아빠,X,X,X,X,전북특별자치도 전주시 완산구 전주객사5길 38-1(고사동),A04,A0401,A04011000
17,ABC마트 NC 강서점,"좋아요
친절합니다.
가격도 싸고 직원분들이 친절해요!
가성비 좋은 운동화 득
신발 이쁜거 많아욤 그리고 직원분들 넘 친절하세영~~
신발이 많아요
딱 하나남은거 사왔어요!!
종류 많고 직접 신어보고 생일쿠폰 적용하니 인터넷가랑 비슷하게 잘 샀어요!! 
좋아요 
두 신발을 같이 보고 비교하고 싶은데 두 신발을 같이 꺼낼수 없게 하는 것 같더라구요.다른 신발도 꺼내달라고 하니깐 처음에 꺼낸 신발은 넣으시더라구요. 넣어놔야 다른분이 꺼내달라고 했을 때 빠르게 꺼내줄 수 있는 건 이해하는데 그래도 좀 아닌 듯.",신발 두 하나 비 득 많아욤 세영 운동화 가성 하 보고 달라 직접 종류 신어 쿠폰 생일 인터넷 적용 때 직원 가격 달라 보고 신발 두 하 다른 이해 비교,X,X,O,X,서울특별시 강서구 강서로56길 17,A04,A0401,A04011000
18,ABC마트 SP신촌점,"종류가 많아 좋아요
.
굿굿굿
친절해요

굳
필요한 게 다 있는 ..
종류 많아서 즇아요
굿
.
에이비씨 마트 신촌점",종류 굿굿굿 게 굿 즇아 비씨 점 마트 신촌 에이 에이 신촌 마트 점 비씨 종류 즇아 게 굿 굿굿굿 종류 굿 굿굿굿 즇아 게 비씨 점 마트 신촌 에이,X,X,X,X,서울특별시 서대문구 명물길 6,A04,A0401,A04011000
19,ABC마트 ST부산광복,"ㅣ
굳
좋아요
좋아요
굿
남자직원분  굉장히  친절하셨음
세일하는제품도 있고 다양한 종류가 많아서 좋아요
1층 2층 매장에서 골라볼 수 있어서 좋아요
담에 또 갈게요
좋아요
좋아요
굿",수 굿 직원 매장 또 볼 남자 층 종류 제품 층 굿 담 일 제품 종류 볼 남자 또 매장 직원 수 남자 또 제품 볼 담 매장 종류 일,X,X,X,X,부산광역시 중구 광복로 73-1(광복동2가),A04,A0401,A04011000
20,ABC마트 ST부천심곡점,"친절해요 
남편이 발사이즈가 큰편인데 사이즈도 제품별로 거의 있어서 신어보고 사기 편했어용!!

부천역에 위치한 ABC 마트 다양한 운동화가 있어서 좋아요. 가성비도 좋고 직원도 친절하네요

와~~~  운동화 샀어요.
신나라~~~
다녀감
굿
좋아요
좋아요 
좋아요",운동화 마트 부천역 위치 신나라 굿 직원 가성 비도 발사이즈 비도 직원 가성 신나라 굿 운동화 부천역 위치 마트 사이즈 사기 편 남편 거의 별로 보고 제품 신어 사이즈 발사이즈,X,X,X,X,경기도 부천시 원미구 부천로 32,A04,A0401,A04011000
21,ABC마트 ST스타필드부천점,"good
종류 많아여
굿
🙌🏻
굿
너무 맘에 드는 신발을 10만원 이상이면 만원 할인 이벤트까지 적용받아 샀어요~
가성비좋아요
좋습니당ㅎㅎ
친절함
구경하는데 부담주지 않고, 요청에는 바로바로 응대해 주심",굿 가성 할인 신발 요청 구경 이면 만원 습 비 굿 응대 이상 부담 주지 맘 이벤트 종류 주심 적용 굿 할인 신발 요청 이상 만원 맘 적용 비 종류,X,X,O,X,경기도 부천시 옥길로 1,A04,A0401,A04011000
22,ABC마트 ST이태원,"찾는 제품이 다양하게 있어요
좋아요 
며칠 전 롯데백화점에서 20% 할인으로 아디다스 샀는데, 여긴 30%네요~>_< 
ㅋㅋㅋ어그부츠 싼가격에 사고왔습니다
굳
굳
좋아요
👍 
나이키 런닝화 55,000원 넘 좋은 가격에 구매했어요! 매장에 재고 있다고 했다가 오류라서 그냥 매장에서 결제하고 택배로 받았는데 상품 문제 없이 왔습니다 👍🏻
굿",매장 결제 문제 그냥 상품 굿 택배 재고 오류 부츠 가격 런닝화 백화점 전 사고 할인 제품 구매 나이키 며칠 재고 오류 상품 택배 굿 그냥 문제 결제 매장 롯데,X,X,X,X,서울특별시 용산구 이태원로 159-1,A04,A0401,A04011000
23,ABC마트 ST제주연동,"저렴해서  부담없이 구매할수  있어요?
세일도 많이하고 매장도 청결해서 좋아요!
좋아요
친절해요 
친절하고! 예쁜신발 잘 사서왔어용!!
친절해요😍
종류가  다양해요
신발이 갑자기 뜯어져서 방문했는데 세일 제품 저렴하게 잘 샀어요. 친절해요!
굿
겟겟겟",신발 방문 종류 일 제품 갑자기 사서 구매 매장 부담 겟겟겟 굿 사서 구매 매장 일도 부담 신발 갑자기 제품 부담 일도 매장 구매 사서 신발 굿 겟겟겟 갑자기 일,X,X,X,X,제주특별자치도 제주시 삼무로 30(연동),A04,A0401,A04011000
24,ABC마트 ST제주칠성,"이츠 귿
좋아요
좋아요
뉴발 530 
굿
좋아요
좋아요
굿
굿
신발은 다양해서 좋은데 뉴발 세일 안해서 실망~~",굿 뉴발 이츠 일 귿 신발 안해 실망 굿 뉴발 실망 안해 신발 귿 일 이츠 귿 이츠 신발 일 실망 안해 뉴발 굿,X,X,X,X,제주특별자치도 제주시 중앙로5길 6(일도일동),A04,A0401,A04011000
25,ABC마트 경성대점,"매장 넓고 다양한 이쁜 제품들이 많아요👍
온라인에서 사이즈가 없던 신발 운좋게 구매했어요. 그런데 체크카드 결제 시, 카드 비밀번호 입력해야 하고, 현금 IC 결제로 진행해야 하는 점이 좀 의아했습니다.
운동화사고 다시가서 신발끈 구매하고 그 자리에서 딴걸로 바꾸려는데도 안바꿔주려고 함
여직원과 밀당했음
굿
정말 고마워요 
잘 신고 있습니다 ㅎ
급하게 아기 신발 구매해야 했는데 다행히 토들러 제품이 있어서 구매했어요!
할인도 많이 돼서 아기 신발 3켤레 구매!
다른매장에 없던 사이즈가 있어서 구매했어요
강추
운동화 살때 항상 가는곳",구매 신발 아기 제품 운동화 사고 자리 신고 굿 토 신발 구매 제품 할인 켤레 운동화 운 온라인 사이즈 매장 결제 매장 사이즈 구매 좀 체크카드 시 비밀번호 의아 입력,X,X,X,X,부산광역시 남구 수영로 300,A04,A0401,A04011000
26,ABC마트 롯데월드몰,"👍🏻신발 종류가 다양하게 많이 있어서 좋아요. 
👎🏻직원들은 다들 손님응대하기 싫어하는 느낌이라서 뭐 물어보기도 눈치보이네요. 갈때마다 항상 무표정,,😐😑
나이키를 신고 뛰어보자 팔짝!
딱히 친절하지는 않음ㅋ. 물건 구입해도 감사하다느니 안녕히가세요라느니 그딴거없음 ㅋ.
굿
abc mart 잠실롯데월드몰점 제품이 다양하고 편안한 쇼핑 좋아요
직원분들이 친절하세요

컨버스 하이탑에 늘어나는 고무줄 신발끈이 있어 편합니다 
굿
좋네요~",나이키 신고 항상 무표정 팔짝 때 손님 응대 눈치 느낌 굿 직원 쇼핑 월드 점 컨 고무줄 하이 버스 잠실 거 구입 물건 종류 신발 굿 직원 롯데 제품 발끈,X,X,X,X,"서울특별시 송파구 올림픽로 300(신천동,롯데월드몰4층)",A04,A0401,A04011000
27,ABC마트 롯데파주,"여자직원분 넘친절하셔서 좋앗어요
abc마트있어서넘좋아요
싸게 잘 샀어요
좋아요!!
굿
싼가격에 잘샀어요~~^^
ㆍ
물건이다양해요
신발 저렴하게 살수있어요
 고객은 많고, 응대할 수 있는 직원들은 적고.. 일하시는 분들이 너무 힘들어 보이셨습니다.",직원 굿 가격 수 양해 고객 물건 분 응대 일 여자 마트 직원 굿 일 신발 응대 분 물건 수 여자 마트 직원 신발 일 응대 분 물건 고객 양해,X,X,X,X,경기도 파주시 회동길 390 롯데프리미엄아울렛 A동 3층,A04,A0401,A04011000
28,ABC마트 메세나폴리스,"사람 별로 없어서 편하게 구경함
스케쳐스 편해서 계속 이것만 써요
좋아요 
굿
좋아요
특가 코너에서 19,000원에 필라 운동화 GET!!!

러닝용 운동화 저렴하게 득템해서 너무 기분 좋아요😊

아름다움과 달콤함을 찾아다니는 꿀벌로드🐝!
꿀벌이가 직접 날아갔던 맛집과 핫플을 소개해 드려요❤️

🌟 새로운 경험의 문을 열고 싶다면, 지금 바로 클릭! 🚀
👉https://linktr.ee/honeyrd?utm_source=linktree_admin_share👈
가성비 넘 좋아요 나이키매장보다 훨씬 저렴하게 나이키샀어요
귿귿
가성비 짱이예요
굿 ",나이키 비 가성 굿 운동화 이예 귿귿 매장 구경 별로 운동화 굿 쳐스 특 스케 것 사람 함 코너 계속 꿀벌 맛집 클릭 소개 바로 경험 직접 문 지금 핫플,X,X,O,X,서울특별시 마포구 양화로 45 메세나폴리스,A04,A0401,A04011000
29,ABC마트 미아점,"세일제품인데
발이 완전완전 편합니다
득템해서 왔어요~~
물건이 많아요
흰색양말3켤레 ₩4,900

상품 질과 가격이 좋네요~


아이 운동화 구매^^
굿굿굿
오랜만에 아이신발 구매!
신랑 찾던 가방 구매!!
굿
굿

가성비좋고 다양해서 좋아요",굿 가성 비 가방 신랑 구매 완전 만 아이 굿굿굿 구매 신랑 가방 비 가성 굿 완전 아이 만 양말 구매 아이 완전 질 제품 켤레 흰색 득템 상품 신발,X,X,O,X,서울특별시 강북구 도봉로 45,A04,A0401,A04011000
30,ABC마트 신도림디큐브점,"여름 신발로 뮬이 신고다니기 편해서
봐두었던 제품 사러왔는데
사이즈가 없대요..
인터넷에는 있던것같던데
사이즈 주문이 안된다해서
좀 아쉽네요
그래도 이뻐요 잘 신을게요
깔창샀어요!! ^-^
친절하진 않지만 사이즈 문의하면 잘 가져다주심..
딸이 신고있던 신발이 에어가 터지면서
걸을때마다 바람새는소리가 나서 에어없는걸로
구매했습니다. 지금 10프로 할인해주더라구요.
매장이 안쪽에 있어서 그런지 사람들이 많이
없어서 붐비지않아 좋았고 사이즈도 바로바로
찾아줘서 오래대기하지않았고 바로 구매하고
나왔어요. 
좋아요 
굿
굿
친절하세요
굿
굿",구매 대기 매장 지금 할인 사람 프로 바로 안쪽 사이즈 사이즈 신발 깔창 여름 좀 제품 주문 인터넷 대요 다해 굿 에어 구매 바람 심 는걸 때 딸 소리 걸,X,X,O,X,서울특별시 구로구 경인로 662,A04,A0401,A04011000
31,ABC마트 현대가든파이브,"재고확인 하느라고 전화문의하고 갔는데 친절해요
굿
행사기간이라  잘 구매햇어요
ㅎ~
ㅎ~
잘 사용하고 있어요
저렴하게 잘샀어요
아이 신발 잘 샀어요"")
사이즈 추천해주셨는데 잘 맞아요!
조아용
넘 친절하시네요^^",전화 아이 신발 문의 사이즈 재고 사용 추천 기간 확인 사용 확인 전화 굿 행사 재고 추천 햇 문의 기간 굿 행사 햇 기간 확인 추천 사용 재고 사이즈 문의,X,X,X,X,"서울특별시 송파구 충민로 66, 라이프동 3층 (문정동)",A04,A0401,A04011000
32,ABC마트 현대송도,"좋아요
남펀이랑 신발보러 가서 사고왔어요 
친절하시네용
👍 좋아요

굳
슬리퍼 사러감.
한꺼번에 여러 브랜드 비교해보고 살 수 있어서 좋았음.
사이즈 찾아다주는 직원분은 매우 친절했으나, 캐셔는 매우 퉁명스러워서 내가 이걸 사가는 게 불만인가? 싶은 생각이 들 정도.
굿
굿
톡톡 튀는 신발 잘 구입했어요~ 두 켤레사니까 10% 할인해준거같기도 하고^^
굿
굳",여러 수 번 브랜드 살 비교 정도 생각 신발 감 굿 신발 켤레 사 톡톡 구입 할인 두 생각 정도 매우 불만 내 게 퉁 직원 사이즈 걸 캐셔 용,X,X,X,X,"인천광역시 연수구 송도국제대로 123, 현대프리미엄아울렛 송도점",A04,A0401,A04011000
33,ABC마트 현대아울렛 김포점,"😙😃🤔🥲😘🌸🏝️🍀🙏👍👍👍👍👍
good 🐶✌️
아이신발샀어요^^
굿
굿
나이키 매장에 원하는 디자인 없어서 abc마트에서 찾았어요!
친절합니다 
좋아요
굿
친절해요. 제품도 잘 찾아줘요. 
에이비씨마트

",굿 나이키 아이 매장 디자인 신발 마트 제품 비씨 에이 제품 굿 마트 비씨 에이 신발 디자인 아이 매장 나이키 마트 에이 비씨 제품 굿 디자인 매장 신발 나이키 아이,X,X,X,X,경기도 김포시 아라육로152번길 100,A04,A0401,A04011000
34,A타워약국 강남역,"친절하세요!
좋아요
좋아요
굿
ㅇㅇ
친절하세요!
친절해요
ㅇㅇ
굿
친절하세요",굿 굿 굿,X,X,X,X,"서울특별시 강남구 테헤란로 105, 1층 (역삼동 A타워)",A04,A0401,A04011000
35,BCBG 롯데김해,"굿

가격은 비싸도 질은 굳",굿 질 가격 가격 굿 질 가격 질 굿,X,X,X,X,경상남도 김해시 장유로 469 (신문동) 롯데아울렛 김해,A04,A0401,A04011000
36,BCBG 롯데동부산,"친절해요
굿
좋아요 
좋아요
엄마 이쁜옷 삼
좋아요 
조아요~
친절해요
좋아요~~~
우리엄마 취향저격",삼 취향 저격 우리엄마 굿 엄마 옷 삼 취향 우리엄마 엄마 옷 저격 굿 굿 옷 엄마 저격 우리엄마 취향 삼,X,X,X,X,부산광역시 기장군 기장해안로 147,A04,A0401,A04011000
37,BCBG 현대가든파이브,"좋아용
행사상품이 많아서 좋아요
굿
ㆍ
다양한 상품들이 있어서 굿~~~

One stop shopping~👍🏻
좋아요
정말 친절하세요 매니저가 아니신데
정말정말 친절하셔요
굿 좋아요 
굿",매니저 행사 정말 데 상품 굿 행사 매니저 정말 데 상품 굿 굿 상품 데 정말 행사 매니저,X,X,X,X,"서울특별시 송파구 충민로 66, 2층",A04,A0401,A04011000
38,CU쌍문우이천점,"커피생크림빵 출시되서 궁금해서 사봤어요
여기는 항상 알바분들이 친절해요.
좋아요
좋아요 
굿
굿
덕성여대 캠퍼스타운하고 거리가 가까워서 좋아요

평범한 편의점 ㅎㅎ
아 그래도 주인아주머니는 친절하십니다!
친절해요
굿
친절해요",굿 편의점 주인 타운 덕성여대 거리 캠퍼스 아주머니 출시 커피 굿 생크림 항상 출시 커피 빵 알바 캠퍼스 아주머니 덕성여대 알바 빵 생크림 커피 항상 출시 굿 거리 아주머니 타운,X,X,X,X,서울특별시 도봉구 쌍문동 414-146,A04,A0401,A04010600
39,DMZ 라운지,"아이와 함께 가서 만들었는데 예쁘게 만드는 방법도 친절하게 알려주시고, 꽃도 리필해주셨어요^^ 감사합니다. 덕분에 주말에 즐거운 추억이 되었습니다^^
아이들과 꽃반지 체험하러 왔어요
예쁘게 꾸며져 있어서 사진찍기도 좋고 아이들은 역시 꽃반지 만들기 너무 좋아해요! 헤이리 왔다면 들르기 좋아요!

아이들이 놀기 너무 좋았어요!
깔끔하고 물놀이도 종류도 많아서 
애들 실컷 놀다왔습니다 
휴가철 지나서 그런지 사람이 없어서 쾌적하게
놀 수 있었어요
사장님도 너무 친절하셔서 다음엔 꽃반지 체험하러
다시 오려구요!!!
사장님께서 넘 친절하시고 예쁜것들이 많아요^^
조용히 대화하기도 좋네용!
카페인테리어는 웰컴키즈존인것 같은데 아이들에게 친절하시진 않네요.

이미  정리가안되어있는 사탕들이었는데
괜히 그 앞에 있다가 누가그랬냐면서 소리치시길래 애도 저도 당황스러웠습니다.
분명 저희애들이 그런거아니고, 사탕 하나사주라고 앞에서있었던거였는데 굳이 뭐라하시고 그대로가져가
정리 하시며 짜증내실이유가 있나요? 🤔 뭐라한거아니시라는데  기분이 참 별로네요.


경기 투어 패스 파주권을 구매후
친구랑 고고!
꽃반지만드리기라~~~
애들만 하면 어쩌지 했는데
어른들도 할 수있다네요..
기대보다 훨씬 간단하고
이쁘게 만들 수 있어요
커피도 맛나고
사진 찍기도 좋고...
강추합니다~^^
물놀이장이 5세 이하 아기들 놀기 정말 좋아요😊
사장님께서 뜰채로 계속 물 관리도 해주시고, 너무 더우면 물도 뿌려주시고 음료도 1개에 5000-7000원 정도인데 아기포함 1인1음료 주문하면 이 모든 이용이 무료라니 최고예요👍 
미끄럼틀 붕붕카도 많아서 물놀이 하다 중간중간 밖에서 놀기도 좋네요 또 올게요 !! 
넓고 아기들 놀기 넘 좋아요~~^^
위치 좋아서 근처에서 밥먹고 디저트먹기딱!
유익한 시간이었어요
꽃반지 체험도 넘 좋아요^^",투어 패스 고고 친구 후 경기 파주 구매 근처 밥 아기 수 물놀이 중간 물 음료 꽃 사장 사진 찍기 아이 꽃 반지 체험 애 사장 사탕 앞 정리 종류,X,X,O,O,경기도 파주시 새오리로161번길 90,A04,A0401,A04010900
