,addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
0,전라남도 신안군 흑산면 가거도길 38-2,(흑산면),38,0,A01,A0101,A01011300,127480,12,20030905090000,,,,125.1125145360,34.0740166502,6,20230918102221,12,,가거도(소흑산도),58866
1,전라남도 진도군 고군면 신비의바닷길 47,(고군면),38,0,A01,A0101,A01011200,126273,12,20031107090000,http://tong.visitkorea.or.kr/cms/resource/36/3079736_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/3079736_image3_1.jpg,Type3,126.3547412438,34.4354594945,6,20240110114813,21,,가계해수욕장,58911
2,부산광역시 강서구 천성동 308-2,,6,0,A01,A0101,A01011300,2715601,12,20210508004846,http://tong.visitkorea.or.kr/cms/resource/61/2716261_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2716261_image3_1.jpg,Type3,128.8169442487,35.0229638330,6,20230707163011,1,,가덕도,
3,부산광역시 강서구 외양포로 10,,6,0,A01,A0101,A01011600,129156,12,20060719090000,http://tong.visitkorea.or.kr/cms/resource/88/1982388_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/1982388_image3_1.jpg,Type3,128.8295937487,35.0006471157,6,20231106095233,1,,가덕도 등대,46771
4,부산광역시 강서구 천성동,,6,0,A01,A0101,A01010400,2726843,12,20210723203306,,,,128.8216713782,35.0317518247,6,20231228143423,1,,가덕도 연대봉,
5,부산광역시 강서구 대항동 393-9,(대항동),6,0,A01,A0101,A01011900,2789460,12,20211208224227,http://tong.visitkorea.or.kr/cms/resource/67/2800367_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2800367_image2_1.jpg,Type3,128.8274685924,35.0133095493,6,20231219175133,1,,가덕도대항인공동굴,46771
6,경기도 가평군 북면,,31,0,A01,A0101,A01010400,125462,12,20030331090000,http://tong.visitkorea.or.kr/cms/resource/23/1900123_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/1900123_image3_1.jpg,Type3,127.5683098007,37.9202321907,6,20240423132024,1,,가덕산,"477-840,1"
7,경상남도 거제시 남부면 다대리,(남부면),36,0,A01,A0101,A01010400,127257,12,20031029090000,,,,128.6303346514,34.7410502933,6,20231004111551,1,,가라산,53322
8,전북특별자치도 부안군 변산면 새만금로 447-27,,37,0,A01,A0101,A01011400,2743285,12,202401181743,,,,126.5314023248,35.7269248004,6,20240118174312,6,,가력도항,56343
9,강원특별자치도 홍천군 내촌면 와야리,,32,0,A01,A0101,A01010800,125658,12,20030806090000,http://tong.visitkorea.or.kr/cms/resource/55/1842055_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/1842055_image3_1.jpg,Type3,128.1601919204,37.8328951114,7,20231117163615,16,,가령폭포,"250-863,3"
