,name,naverURL
0,가고파 꼬부랑길 벽화마을,"https://map.naver.com/p/search/%EA%B0%80%EA%B3%A0%ED%8C%8C%20%EA%BC%AC%EB%B6%80%EB%9E%91%EA%B8%B8%20%EB%B2%BD%ED%99%94%EB%A7%88%EC%9D%84/place/36605061?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
1,가루매마을,"https://map.naver.com/p/search/%EA%B0%80%EB%A3%A8%EB%A7%A4%EB%A7%88%EC%9D%84/?c=15.00,0,0,0,dh"
2,가리왕산케이블카,"https://map.naver.com/p/search/%EA%B0%80%EB%A6%AC%EC%99%95%EC%82%B0%EC%BC%80%EC%9D%B4%EB%B8%94%EC%B9%B4/?c=15.00,0,0,0,dh"
3,가뫼골마을,"https://map.naver.com/p/search/%EA%B0%80%EB%AB%BC%EA%B3%A8%EB%A7%88%EC%9D%84/?c=15.00,0,0,0,dh"
4,가산산성마을,"https://map.naver.com/p/search/%EA%B0%80%EC%82%B0%EC%82%B0%EC%84%B1%EB%A7%88%EC%9D%84/?c=15.00,0,0,0,dh"
5,가실벚꽃길,"https://map.naver.com/p/search/%EA%B0%80%EC%8B%A4%EB%B2%9A%EA%BD%83%EA%B8%B8/?c=15.00,0,0,0,dh"
6,가야산칠불봉 야생화마을,"https://map.naver.com/p/search/%EA%B0%80%EC%95%BC%EC%82%B0%EC%B9%A0%EB%B6%88%EB%B4%89%20%EC%95%BC%EC%83%9D%ED%99%94%EB%A7%88%EC%9D%84/place/418488700?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
7,가야의 거리,"https://map.naver.com/p/search/%EA%B0%80%EC%95%BC%EC%9D%98%20%EA%B1%B0%EB%A6%AC/place/15465423?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
8,가우도 모노레일,"https://map.naver.com/p/search/%EA%B0%80%EC%9A%B0%EB%8F%84%20%EB%AA%A8%EB%85%B8%EB%A0%88%EC%9D%BC/place/1916252538?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
9,가장마을,"https://map.naver.com/p/search/%EA%B0%80%EC%9E%A5%EB%A7%88%EC%9D%84/?c=15.00,0,0,0,dh"
10,가정녹색농촌체험마을,"https://map.naver.com/p/search/%EA%B0%80%EC%A0%95%EB%85%B9%EC%83%89%EB%86%8D%EC%B4%8C%EC%B2%B4%ED%97%98%EB%A7%88%EC%9D%84/place/17373265?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
