,name,naverURL
0,가가와,"https://map.naver.com/p/search/%EA%B0%80%EA%B0%80%EC%99%80/place/31663597?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
1,가경목장,"https://map.naver.com/p/search/%EA%B0%80%EA%B2%BD%EB%AA%A9%EC%9E%A5/place/18092992?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
2,가경식당,"https://map.naver.com/p/search/%EA%B0%80%EA%B2%BD%EC%8B%9D%EB%8B%B9/?c=13.00,0,0,0,dh"
3,가고파부치기,"https://map.naver.com/p/search/%EA%B0%80%EA%B3%A0%ED%8C%8C%EB%B6%80%EC%B9%98%EA%B8%B0/place/15544704?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
4,가고파생삼겹구이,"https://map.naver.com/p/search/%EA%B0%80%EA%B3%A0%ED%8C%8C%EC%83%9D%EC%82%BC%EA%B2%B9%EA%B5%AC%EC%9D%B4/?c=15.00,0,0,0,dh"
5,가고파식당,"https://map.naver.com/p/search/%EA%B0%80%EA%B3%A0%ED%8C%8C%EC%8B%9D%EB%8B%B9/?c=15.00,0,0,0,dh"
6,가나다라브루어리,"https://map.naver.com/p/search/%EA%B0%80%EB%82%98%EB%8B%A4%EB%9D%BC%EB%B8%8C%EB%A3%A8%EC%96%B4%EB%A6%AC/?c=15.00,0,0,0,dh"
7,가나돈까스의집,"https://map.naver.com/p/search/%EA%B0%80%EB%82%98%EB%8F%88%EA%B9%8C%EC%8A%A4%EC%9D%98%EC%A7%91/place/34178313?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
8,가나샤브샤브,"https://map.naver.com/p/search/%EA%B0%80%EB%82%98%EC%83%A4%EB%B8%8C%EC%83%A4%EB%B8%8C/?c=15.00,0,0,0,dh"
9,가나안국수,"https://map.naver.com/p/search/%EA%B0%80%EB%82%98%EC%95%88%EA%B5%AD%EC%88%98/place/35560280?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
10,가나안덕하남점 (가나안 덕(DUCK)),"https://map.naver.com/p/search/%EA%B0%80%EB%82%98%EC%95%88%EB%8D%95%ED%95%98%EB%82%A8%EC%A0%90%20%28%EA%B0%80%EB%82%98%EC%95%88%20%EB%8D%95%28DUCK%29%29/?c=15.00,0,0,0,dh"
11,가나안장어마을,"https://map.naver.com/p/search/%EA%B0%80%EB%82%98%EC%95%88%EC%9E%A5%EC%96%B4%EB%A7%88%EC%9D%84/place/1626911883?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
12,가남지,"https://map.naver.com/p/search/%EA%B0%80%EB%82%A8%EC%A7%80/?c=15.00,0,0,0,dh"
