,Unnamed: 0,name,naverURL,contains_review
63,63,갬성하우스,"https://map.naver.com/p/search/%EA%B0%AC%EC%84%B1%ED%95%98%EC%9A%B0%EC%8A%A4/place/1025874104?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
66,66,갯벌부흥펜션,"https://map.naver.com/p/search/%EA%B0%AF%EB%B2%8C%EB%B6%80%ED%9D%A5%ED%8E%9C%EC%85%98/place/17472048?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
68,68,거제 썬트리팜리조트,"https://map.naver.com/p/search/%EA%B1%B0%EC%A0%9C%20%EC%8D%AC%ED%8A%B8%EB%A6%AC%ED%8C%9C%EB%A6%AC%EC%A1%B0%ED%8A%B8/place/1236702105?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
71,71,거제도 펜션팔색조,"https://map.naver.com/p/search/%EA%B1%B0%EC%A0%9C%EB%8F%84%20%ED%8E%9C%EC%85%98%ED%8C%94%EC%83%89%EC%A1%B0/place/11709248?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
72,72,거제도섬마을펜션,"https://map.naver.com/p/search/%EA%B1%B0%EC%A0%9C%EB%8F%84%EC%84%AC%EB%A7%88%EC%9D%84%ED%8E%9C%EC%85%98/place/11828519?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
73,73,거제뷰골프텔,"https://map.naver.com/p/search/%EA%B1%B0%EC%A0%9C%EB%B7%B0%EA%B3%A8%ED%94%84%ED%85%94/place/37604302?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
80,80,게스트하우스 play at home(플레이앳홈),"https://map.naver.com/p/search/%EA%B2%8C%EC%8A%A4%ED%8A%B8%ED%95%98%EC%9A%B0%EC%8A%A4%20play%20at%20home%28%ED%94%8C%EB%A0%88%EC%9D%B4%EC%95%B3%ED%99%88%29/place/1796686783?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
82,82,게스트하우스 리좀,"https://map.naver.com/p/search/%EA%B2%8C%EC%8A%A4%ED%8A%B8%ED%95%98%EC%9A%B0%EC%8A%A4%20%EB%A6%AC%EC%A2%80/place/37700738?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
84,84,게스트하우스 몽자,"https://map.naver.com/p/search/%EA%B2%8C%EC%8A%A4%ED%8A%B8%ED%95%98%EC%9A%B0%EC%8A%A4%20%EB%AA%BD%EC%9E%90/place/1294652252?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
89,89,게스트하우스여정,"https://map.naver.com/p/search/%EA%B2%8C%EC%8A%A4%ED%8A%B8%ED%95%98%EC%9A%B0%EC%8A%A4%EC%97%AC%EC%A0%95/place/496314314?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
