,addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
0,부산광역시 강서구 대항동,162-1,6,,A02,A0205,A02050600,3015365,12,20230925164008,http://tong.visitkorea.or.kr/cms/resource/22/3015322_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/22/3015322_image3_1.JPG,Type3,128.8310519246,35.0017831264,6,20230926105937,1,,가덕도외양포전망대,46771
1,경상북도 성주군 수륜면 성주가야산로 278,,35,,A02,A0205,A02050600,3030551,12,20231102144312,,,,128.1448181668,35.8026610502,6,20231102144321,10,,가야산 돌할매 신비의돌,40063
2,전라남도 강진군 도암면 신기리,,38,0,A02,A0205,A02050100,2514003,12,20171103004852,http://tong.visitkorea.or.kr/cms/resource/74/2648674_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2648674_image3_1.jpg,Type3,126.7717356912,34.5288669609,6,20240311163940,1,,가우도 출렁다리,59251
3,경기도 가평군 가평읍 호반로 2540,,31,0,A02,A0205,A02050200,1104176,12,20101006023757,http://tong.visitkorea.or.kr/cms/resource/84/2480684_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/2480684_image2_1.jpg,Type3,127.5157483134,37.8126354086,6,20230802194510,1,,가평 현충탑,12422
4,경기도 가평군 가평읍 문화로 131,,31,0,A02,A0205,A02050200,1283850,12,20110520231515,,,,127.5057710373,37.8265224976,6,20231024153858,1,,가평학도의용대참전비,12416
5,충청남도 서산시 부석면 간월도리,,34,0,A02,A0205,A02050200,129181,12,20060725090000,http://tong.visitkorea.or.kr/cms/resource/48/188448_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/188448_image3_1.jpg,Type3,126.4136207466,36.6057304945,6,20231120180447,7,,간월도 어리굴젓 기념탑,32023
6,울산광역시 울주군 서생면 대송리,산110-22,7,,A02,A0205,A02050600,2871546,12,20221020113347,http://tong.visitkorea.or.kr/cms/resource/24/2871524_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/24/2871524_image3_1.JPG,Type3,129.3611487843,35.3588057199,6,20240207133643,5,,간절곶소망우체통,45015
7,경상남도 거창군 북상면 갈계리,,36,0,A02,A0205,A02050200,128654,12,20051114090000,,,,127.8147003936,35.7931506445,6,20240111175828,2,,갈계리삼층석탑,50102
8,경기도 파주시 설마천로 238,,31,0,A02,A0205,A02050100,2569511,12,20181125013058,http://tong.visitkorea.or.kr/cms/resource/79/2567379_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/2567379_image3_1.jpg,Type3,126.9476076720,37.9382770580,6,20240308104638,27,,감악산 출렁다리,10805
9,전북특별자치도 정읍시 내장호반로 214,(쌍암동),37,0,A02,A0205,A02050200,1625103,12,20120509012120,http://tong.visitkorea.or.kr/cms/resource/89/3060489_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/3060489_image3_1.jpg,Type3,126.9002222297,35.5097335146,6,20240118104633,13,,갑오동학혁명 100주년 기념탑,56199
10,경상남도 통영시 동호동,,36,,A02,A0205,A02050100,2987217,12,20230503173153,,,,128.4267219331,34.8417381765,6,20231026212510,17,,강구안 보도교,53051
11,서울특별시 강동구 천호동,,1,0,A02,A0205,A02050200,127377,12,20040227090000,,,,127.1207004140,37.5426873535,6,20240131143903,2,,강동예찬시비,05246
12,강원특별자치도 강릉시 강문동 248-4,,32,0,A02,A0205,A02050100,2721544,12,20210616230937,,,,128.9167801561,37.7978304040,6,20230703185258,1,,강문솟대다리,
13,강원특별자치도 춘천시 서면 신매리,68-4,32,0,A02,A0205,A02050200,128778,12,20060209090000,http://tong.visitkorea.or.kr/cms/resource/71/181971_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/181971_image3_1.jpg,Type3,127.7130161606,37.9167408445,6,20231123121517,13,,강원 경찰충혼탑,24460
14,전라남도 강진군 성전면 월남1길 100,(성전면),38,0,A02,A0205,A02050200,226926,12,20070828090000,http://tong.visitkorea.or.kr/cms/resource/99/221199_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/221199_image3_1.jpg,Type3,126.7113274801,34.7429808133,6,20231030111311,1,,강진 월남사지 삼층석탑,59200
15,전라남도 강진군 성전면 월남1길 106-1,,38,0,A02,A0205,A02050200,129697,12,20070828090000,http://tong.visitkorea.or.kr/cms/resource/59/220659_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/220659_image3_1.jpg,Type3,126.7107358718,34.7427086120,6,20240130142129,1,,강진 월남사지 진각국사비,59200
16,인천광역시 강화군 하점면 장정리,산 193,2,0,A02,A0205,A02050200,128824,12,20060308090000,http://tong.visitkorea.or.kr/cms/resource/05/183105_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/183105_image3_1.jpg,Type3,126.4203938355,37.7798472622,6,20240125095225,1,,강화 장정리 오층석탑,23014
17,인천광역시 강화군 양사면 전망대로 797,(양사면),2,0,A02,A0205,A02050600,631066,12,20081002023451,,,,126.4329663820,37.8263253898,6,20240320135455,1,,강화도제적봉 평화전망대,23012
18,경기도 안산시 단원구 구봉길 240,(대부북동),31,0,A02,A0205,A02050100,2761294,12,20211022201300,http://tong.visitkorea.or.kr/cms/resource/60/2761360_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/2761360_image2_1.jpg,Type3,126.5476265728,37.2805520416,6,20231221145954,15,,개미허리아치교,15639
19,경상남도 거제시 장목면 유호리,,36,0,A02,A0205,A02050100,2611154,12,20190716020519,http://tong.visitkorea.or.kr/cms/resource/14/2369214_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/2369214_image3_1.jpg,Type3,128.7190862459,35.0175820996,6,20231220144600,1,,거가대교,53200
20,전라남도 고흥군 도양읍,,38,0,A02,A0205,A02050100,2703718,12,20210113202732,,,,127.1293326451,34.5066976247,6,20231213151938,2,,거금대교,59564
