,addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
0,경상북도 영천시 화산면 가래실로 364,,35,0,A02,A0201,A02010600,2753576,12,20211006184631,,,,128.8892738816,36.0328070074,6,20231012135334,15,,가래실 문화마을,38808
1,경상남도 거제시 동부면 가배리,,36,0,A02,A0201,A02010200,127268,12,20040119090000,,,,128.5722052958,34.7817585943,6,20231004113802,1,,가배량성,53330
2,충청북도 옥천군 안내면 안내회남로 671,,33,0,A02,A0201,A02010800,294369,12,20071126234108,,,,127.5973920906,36.4015885618,6,20231207162038,5,,가산사,29005
3,전라남도 장성군 삼서면 영장로 2015,,38,0,A02,A0201,A02010700,1957336,12,20141017190007,,,,126.6931003984,35.2313226604,6,20231204175524,19,,가산서원,57256
4,경상남도 거창군 북상면 송계로 731-42,(북상면),36,0,A02,A0201,A02010700,1578561,12,20120327013044,,,,127.8160339922,35.7788772875,6,20231206162739,2,,가선정,50102
5,충청북도 음성군 음성읍 가섭길 494,,33,0,A02,A0201,A02010800,294390,12,20071126235315,http://tong.visitkorea.or.kr/cms/resource/92/1075092_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/1075092_image3_1.jpg,Type3,127.7030557496,36.9666339700,6,20231209153343,6,,가섭사,27688
6,경상남도 거창군 위천면 상천리,산6-2번지,36,0,A02,A0201,A02010700,1579499,12,20120327035657,http://tong.visitkorea.or.kr/cms/resource/66/1611166_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/1611166_image3_1.jpg,Type3,127.7941371179,35.7345485901,6,20240126111454,2,,가섭암지 마애여래삼존입상,50103
7,경상북도 칠곡군 왜관읍 가실1길 1,,35,0,A02,A0201,A02010900,2513971,12,20171102234940,http://tong.visitkorea.or.kr/cms/resource/86/2687486_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2687486_image3_1.jpg,Type3,128.4049220662,35.9368172454,6,20230622133500,22,,가실성당,39912
8,경상남도 양산시 원동면 용당들길 43-62,,36,0,A02,A0201,A02010700,1236556,12,20110321195941,,,,128.9023718710,35.3675378711,6,20230905112832,10,,가야진사,50586
9,전북특별자치도 남원시 운봉읍 비전길 7,,37,0,A02,A0201,A02010500,2788127,12,202401181743,http://tong.visitkorea.or.kr/cms/resource/52/2791552_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2791552_image2_1.jpg,Type3,127.5626899062,35.4575758647,6,20240118174312,4,,가왕 송흥록 박초월 생가(송홍록생가),55717
10,경기도 파주시 적성면 달빛길 345,,31,0,A02,A0201,A02010700,2569494,12,20181125002330,http://tong.visitkorea.or.kr/cms/resource/67/2567367_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2567367_image3_1.jpg,Type3,126.9042297694,37.9841931357,6,20230324135034,27,,가월리 · 주월리 구석기 유적,10802
11,전북특별자치도 순창군 복흥면 하리길 160,(복흥면),37,0,A02,A0201,A02010500,2357441,12,202401181743,http://tong.visitkorea.or.kr/cms/resource/00/2357300_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2357300_image2_1.jpg,Type3,126.9774224423,35.4505693165,6,20240118174312,7,,가인 김병로 생가터,56002
12,전라남도 목포시 산정동,90-1,38,,A02,A0201,A02010900,3006131,12,20230831163328,,,,126.3857937169,34.7996301851,6,20230831163347,8,,가톨릭 목포 성지,58712
13,경기도 가평군 설악면 방일리,,31,0,A02,A0201,A02010700,1201082,12,20110210225513,,,,127.4915450327,37.6196823854,6,20231025122008,1,,가평별묘,12472
14,경기도 가평군 가평읍 향교로 23-1,,31,0,A02,A0201,A02010700,921096,12,20100113183142,http://tong.visitkorea.or.kr/cms/resource/19/1090919_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/1090919_image3_1.jpg,Type3,127.5074902248,37.8299471303,6,20231024105422,1,,가평향교,12417
15,경기도 광명시 가학동,,31,0,A02,A0201,A02010700,736597,12,20090520194046,http://tong.visitkorea.or.kr/cms/resource/67/734367_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/734367_image3_1.jpg,Type3,126.8568365465,37.4085426445,6,20240129122223,4,,가학동지석묘,14339
16,경상남도 진주시 이반성면 용암길 59-2,,36,0,A02,A0201,A02010700,1959464,12,20141023195955,http://tong.visitkorea.or.kr/cms/resource/23/3040823_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/3040823_image3_1.jpg,Type3,128.3325771223,35.1664473205,6,20231116095352,13,,가호서원,52614
